m/z,I,S/N
212.42191,0.4934,74.49
219.90094,0.5054,76.3
222.42957,0.5302,80.06
222.45736,0.4993,75.38
222.5834,0.4958,74.85
228.14646,0.509,76.85
229.82952,0.5122,77.33
230.01176,0.5471,82.62
231.48711,0.503,75.94
231.7661,0.4961,74.9
231.94723,0.5208,78.63
232.93989,0.4999,75.46
238.1947,0.5596,42.64
240.59457,0.5455,41.56
241.7584,0.5056,38.52
241.96212,0.9667,73.67
242.81708,0.6791,51.75
242.83886,0.9365,71.37
242.83902,4.8458,369.38
242.83911,3.1039,236.59
242.83921,3.5405,269.88
242.83932,1.9759,150.6
242.83943,1.1511,87.73
242.85718,0.5637,42.95
242.85728,0.7012,53.43
242.85745,0.665,50.67
242.85757,0.8604,65.57
242.86093,0.5258,40.07
246.98438,0.522,39.77
246.98544,0.4987,38
248.896,0.8927,68.03
250.78163,0.5205,39.66
250.89396,0.8992,68.53
252.89101,0.5584,42.55
253.29967,0.6566,50.03
254.33807,0.4928,37.55
254.35994,0.5705,43.47
254.36015,2.2528,171.71
254.37165,0.5306,40.43
254.37312,0.5664,43.16
254.86212,0.9292,70.81
256.85916,0.6611,50.38
256.86007,0.8614,65.64
258.85711,0.6196,47.21
260.55319,0.4994,38.05
263.09253,0.7197,54.84
263.12891,0.7112,54.19
264.08777,0.5857,44.63
264.74232,0.5572,42.46
264.85055,1.1005,83.87
264.89088,0.6402,48.79
265.07178,0.5948,45.33
265.10816,1.0842,82.63
265.1194,0.5535,42.18
265.14455,0.5852,44.59
265.14792,1.2976,98.9
266.63251,0.5249,39.99
266.74029,0.8786,66.96
266.74199,0.5161,39.32
266.8485,2.5368,193.36
266.88883,0.6879,52.42
267.08742,1.0761,82.01
267.12381,1.2348,94.11
268.08268,0.5332,40.63
268.73994,0.8292,63.19
268.84645,1.5969,121.71
269.06668,0.5475,41.72
269.10307,1.22,92.98
269.13947,0.5511,41.99
271.08232,0.6622,50.46
271.11871,0.6591,50.22
271.17034,0.5722,43.6
273.07687,0.5197,39.6
273.10204,0.5115,38.97
273.11326,0.6368,48.52
273.14964,0.5894,44.91
273.84222,0.5624,42.85
275.09252,0.8079,61.57
275.12891,0.9749,74.3
277.07178,0.8849,67.44
277.10816,1.9257,146.78
277.1194,0.8924,68.01
277.14455,1.0123,77.15
278.06703,0.5319,40.53
278.10341,0.9906,75.49
278.90654,0.5489,41.82
279.08742,1.9738,150.45
279.09866,1.401,106.78
279.12381,2.582,196.81
279.16019,0.7969,60.73
280.08267,1.1812,90.02
280.11906,1.0566,80.53
281.06668,1.3013,99.18
281.07792,0.6135,46.75
281.10307,3.7931,289.13
281.1143,1.3644,103.99
281.13945,2.1138,161.12
281.61882,0.5464,41.63
282.06193,0.571,43.51
282.09831,1.5293,116.56
282.10641,0.6037,46
282.96114,0.6392,48.71
283.08233,2.3282,177.46
283.09355,0.701,53.42
283.11737,0.5414,41.25
283.11871,3.117,237.59
283.12994,0.5065,38.59
283.15509,0.678,51.67
