m/z,I,S/N
234.40649,0.3783,68.43
242.83956,1.0222,185.07
242.83966,3.2486,588.34
242.83981,6.7216,1217.41
242.84,2.1301,385.74
242.85807,0.5777,104.56
243.02218,0.4595,83.14
243.02237,0.4335,78.44
243.26226,0.3934,71.18
243.62824,0.4052,73.31
251.12919,0.3799,68.73
251.80414,0.3885,70.28
254.34276,0.3976,71.94
254.34883,0.4559,82.5
254.36021,9.3651,1696.24
254.36939,0.4732,85.62
254.37197,0.5593,101.23
256.43437,0.4174,75.52
256.75014,0.3855,69.73
257.31092,0.4262,77.12
259.0979,0.4115,74.45
261.07717,0.3823,69.15
261.11323,0.4064,73.52
263.09247,0.7399,18.93
263.09271,0.5648,14.43
263.12892,0.4722,12.05
263.12909,0.6271,16.03
265.0715,0.4218,10.76
265.07176,0.4583,11.7
265.10812,0.5047,12.89
265.10834,0.413,10.54
266.65389,0.3911,9.97
266.67411,0.4986,12.73
266.6752,0.4154,10.6
266.67823,0.3853,9.82
267.08741,0.5071,12.95
267.12368,0.5694,14.55
269.10289,0.6676,17.07
269.10302,0.677,17.31
269.10322,0.5663,14.47
270.42326,0.382,9.74
271.08258,0.5285,13.5
271.09753,0.4757,12.14
271.09774,0.4731,12.08
272.09289,0.429,10.95
273.0769,0.7075,18.1
273.11328,1.388,35.57
273.14967,0.8786,22.49
273.25611,0.3915,9.98
273.63658,0.4044,10.31
274.10853,0.5017,12.81
274.93762,0.4031,10.28
275.05614,0.5268,13.46
275.09253,1.5361,39.37
275.10376,0.3996,10.19
275.12615,0.3876,9.88
275.12892,1.7267,44.26
275.1653,0.542,13.85
276.08777,0.6166,15.76
276.09589,0.3873,9.87
277.07178,0.9232,23.64
277.10816,2.6933,69.08
277.11941,0.4871,12.44
277.14455,1.3544,34.71
277.24897,0.3898,9.94
277.6643,0.4518,11.53
277.71347,0.3995,10.19
278.1034,1.0777,27.6
278.11152,0.4699,11.99
279.05103,0.4482,11.44
279.08741,2.1122,54.16
279.09865,0.5654,14.45
279.1238,2.4614,63.13
279.16019,0.5071,12.95
279.94814,0.3823,9.75
280.08266,0.6845,17.5
280.11905,0.7842,20.07
281.06668,1.001,25.63
281.10306,2.9262,75.06
281.1143,0.5992,15.32
281.13944,1.2788,32.76
282.09831,0.6929,17.72
282.10641,0.4757,12.14
283.08233,1.599,40.99
283.09758,0.6862,17.55
283.11871,1.6624,42.62
283.13396,0.6913,17.68
283.1551,0.4155,10.6
283.24205,0.3903,9.95
284.12205,0.3955,10.09
285.07684,0.6529,16.69
285.09797,1.1484,29.42
285.11323,1.2952,33.19
285.13436,0.6164,15.76
285.14962,0.8245,21.1
286.10848,0.4249,10.84
287.05612,0.4112,10.49
287.09249,1.4569,37.34
287.10373,0.4432,11.31
287.11362,0.5654,14.45
287.12888,1.8556,47.58
287.16527,0.6829,17.46
288.08775,0.5282,13.49
288.12413,0.4724,12.06
289.07176,0.7994,20.45
289.07513,0.4069,10.38
289.10814,2.5017,64.16
289.11938,0.4295,10.96
289.14453,1.7854,45.77
289.1809,0.4339,11.07
289.72518,2.1094,54.09
289.72532,2.249,57.68
289.72568,0.8474,21.69
289.72583,0.5577,14.25
289.72605,2.2016,56.46
290.06701,0.518,13.23
290.1034,0.9962,25.51
290.1479,0.3964,10.11
290.7321,8.895,228.32
290.73227,0.5991,15.31
290.98392,0.517,13.21
290.98404,0.7073,18.09
290.98439,2.6026,66.75
291.05103,0.4045,10.32
291.08741,2.5412,65.18
291.09864,0.6654,17.01
291.1238,3.3202,85.18
291.13503,0.6589,16.85
291.16018,1.3038,33.41
292.08266,1.1199,28.69
292.09077,0.5057,12.91
292.11904,1.2869,32.97
292.12715,0.6367,16.28
292.33189,0.3905,9.96
292.33453,0.4003,10.21
293.03207,0.4098,10.45
293.06668,1.3306,34.1
293.10306,4.7931,123
293.11429,0.9986,25.57
293.13944,2.7477,70.48
293.17583,0.4978,12.71
294.06193,0.486,12.41
294.09831,1.616,41.42
294.10642,0.6663,17.04
294.13468,0.7267,18.59
294.14281,0.5637,14.4
295.08233,2.5472,65.33
295.09356,0.735,18.8
295.11871,4.9838,127.89
295.12994,0.7478,19.13
295.13397,0.445,11.36
295.1551,1.006,25.76
295.58892,0.4193,10.7
295.59787,0.4313,11.01
296.07758,0.9572,24.51
296.08568,0.507,12.95
296.11396,1.4403,36.91
296.12206,0.8598,22.01
297.06159,0.8853,22.66
297.09798,4.7024,120.67
297.10921,0.7474,19.12
297.11323,0.9229,23.63
