m/z,I,S/N
180.60501,1.1756,88.2
180.70589,1.4861,111.55
181.47154,2.3911,179.61
181.47167,3.3039,248.25
181.69451,2.4462,183.75
181.96503,1.275,95.67
181.9651,1.4045,105.42
182.51288,1.3897,104.3
185.38465,1.339,100.49
185.39522,1.2426,93.24
186.12917,1.3778,103.41
195.81097,5.5647,418.26
197.80801,10.9275,821.54
198.31919,1.4266,107.08
199.80506,6.254,470.1
201.8021,1.4842,111.41
202.73759,2.6058,195.75
202.8646,1.237,92.82
207.34272,1.4029,69.81
233.04558,1.272,63.29
235.06123,1.4136,70.34
237.07689,1.1817,58.8
239.05614,1.18,58.71
239.09254,1.2619,62.79
239.76041,1.4196,70.63
242.8395,7.1848,357.51
242.83961,2.4702,122.91
242.83971,2.7615,137.41
242.83981,1.5833,78.78
242.83997,18.2508,908.15
242.8401,2.3744,118.14
243.02269,1.7989,89.51
243.75541,1.5759,78.42
249.07687,1.6006,79.64
249.11325,1.2245,60.93
250.89393,1.4838,73.83
251.05614,1.7333,86.24
251.09252,2.6087,129.8
253.07177,2.3365,116.26
253.10816,1.6283,81.02
253.29961,1.3124,14.06
254.22714,1.4208,15.23
254.36007,18.1723,195.52
254.3767,1.5565,16.69
254.86209,2.0115,21.58
255.05105,1.2995,13.92
255.08743,3.1605,33.95
256.85913,1.1714,12.54
256.86004,1.4715,15.77
257.06668,1.6185,17.36
258.85709,1.5588,16.71
259.0612,1.597,17.12
259.09759,1.3488,14.45
261.04046,2.0237,21.72
261.07686,2.0565,22.07
261.11323,1.5577,16.7
263.0561,2.8838,30.97
263.0925,3.2092,34.48
263.12889,2.0775,22.3
264.33426,1.1981,12.83
264.85052,3.0448,32.71
264.89086,1.3609,14.58
265.03538,2.1592,23.18
265.07176,3.4353,36.91
265.10814,3.7675,40.49
265.14454,1.3377,14.33
265.14483,1.43,15.33
266.84847,7.1951,77.38
267.05103,3.077,33.05
267.06628,1.1751,12.58
267.0874,6.2011,66.68
267.12379,2.6112,28.04
268.84643,4.2699,45.89
269.03026,1.2666,13.57
269.04553,1.4059,15.07
269.06667,5.3185,57.18
269.08192,1.6046,17.21
269.10305,5.2269,56.19
271.0248,1.5025,16.11
271.04592,2.0184,21.66
271.06118,2.4784,26.61
271.08232,4.3411,46.66
271.09757,1.744,18.71
271.11869,1.6257,17.43
271.13396,1.3243,14.19
273.04047,2.7868,29.93
273.0616,1.424,15.26
273.07686,3.6558,39.28
273.09799,1.5796,16.94
273.11324,2.9449,31.63
274.07209,1.268,13.58
275.01973,1.8537,19.89
275.05612,4.1166,44.24
275.0925,3.932,42.26
275.12889,2.4547,26.36
277.03538,3.4277,36.83
277.07176,6.7205,72.27
277.10815,6.4351,69.2
277.14453,2.1441,23.01
277.17925,3.0534,32.8
277.17937,3.0992,33.29
277.18096,1.183,12.67
277.18338,1.4054,15.06
277.1835,1.2969,13.89
277.18429,100.0053,1076.3
278.07511,1.5305,16.41
278.18765,15.3622,165.28
279.01463,1.8802,20.17
279.05103,5.9536,64.01
279.06628,1.4214,15.23
279.08741,10.4936,112.88
279.1238,6.7951,73.07
279.18009,5.1051,54.88
280.12716,1.2409,13.29
281.03029,3.522,37.84
281.04555,2.6137,28.07
281.06668,9.6212,103.49
281.08193,1.8835,20.21
281.10306,11.7873,126.8
281.13945,3.5976,38.66
281.52461,1.2173,13.04
282.06193,1.2931,13.85
282.07005,1.5843,16.99
282.10642,2.054,22.04
283.02481,1.5468,16.58
283.04594,6.2947,67.69
283.0612,3.3433,35.92
283.08233,14.2295,153.09
283.09758,2.3167,24.87
283.11871,7.517,80.84
283.13398,1.2336,13.21
284.08568,2.4447,26.25
284.12207,1.5522,16.64
285.02521,1.3139,14.08
285.04046,2.991,32.13
285.06159,7.945,85.45
285.07685,5.1585,55.46
285.09798,8.4022,90.37
285.11323,2.9355,31.53
285.13436,1.5626,16.75
285.14962,1.7316,18.57
285.70782,1.4895,15.97
286.06495,1.255,13.44
287.01974,2.0493,21.99
287.04086,1.6669,17.88
287.05611,4.7157,50.69
287.07724,4.6502,49.98
287.0925,4.7401,50.95
287.11363,1.7356,18.62
287.12889,2.898,31.13
287.16528,1.3229,14.17
288.98729,1.3915,14.91
289.03538,3.928,42.21
289.07177,6.4355,69.2
289.10815,5.3671,57.7
289.14453,2.5186,27.04
289.72486,3.8611,41.49
289.72507,4.0457,43.48
289.72527,8.7389,93.99
289.7255,1.8031,19.34
289.72568,6.6628,71.65
290.0751,1.3326,14.28
290.70659,1.3245,14.19
290.73219,10.9417,117.7
290.984,6.2555,67.26
290.98428,3.1758,34.12
290.9845,4.097,44.03
291.01464,2.4478,26.28
291.05103,7.1183,76.55
291.08742,9.5072,102.26
291.1238,6.8368,73.52
291.16019,1.9266,20.67
291.16356,4.7838,51.42
291.19631,1.8087,19.4
291.19655,1.5828,16.97
291.19868,3.4355,36.91
291.19882,3.1001,33.3
291.199,2.5932,27.85
291.19994,91.4056,983.74
292.05439,1.3041,13.97
292.08266,1.282,13.73
292.09077,1.9784,21.23
292.2033,15.8891,170.95
292.84544,1.9701,21.14
292.88182,1.3425,14.39
293.0303,5.6004,60.21
293.04554,1.5886,17.03
293.06668,12.2869,132.18
293.08194,1.6042,17.2
293.10306,16.179,174.07
293.13945,5.4048,58.11
293.17584,1.3959,14.96
293.17921,3,32.22
293.19574,4.5939,49.38
293.20666,1.4851,15.92
294.03366,1.2414,13.3
294.06194,1.65,17.69
294.07003,1.9484,20.91
294.10642,2.5877,27.79
294.19909,1.228,13.15
294.84339,3.1958,34.33
294.87978,2.5385,27.26
294.93782,10.8974,117.22
295.00956,1.6353,17.54
295.02481,1.8476,19.82
295.04594,8.7338,93.94
295.06119,2.72,29.21
295.08233,18.6214,200.36
295.09758,2.0346,21.83
295.11871,16.218,174.49
295.13398,1.1801,12.64
295.1551,2.0958,22.49
295.94118,1.2098,12.96
296.04929,1.4043,15.05
296.07756,1.4128,15.14
296.08568,3.0621,32.89
296.12207,3.0174,32.41
296.84135,1.796,19.27
296.87774,1.508,16.17
296.93487,4.5882,49.32
296.93577,13.7018,147.41
297.0252,3.7801,40.62
297.04046,3.8112,40.96
297.06159,17.7065,190.51
297.07684,4.0613,43.65
297.09797,26.0632,280.45
297.11323,2.3871000000000002,25.63
297.13436,9.8078,105.5
297.14962,1.6435,17.62
297.15298,3.9504,42.45
297.93913,1.3694,14.67
298.03571,1.2471,13.36
298.06494,3.1477,33.81
298.08021,1.3507,14.47
298.10133,4.2,45.14
298.13772,1.8854,20.23
298.81155,14.3286,154.15
298.93282,4.723,50.77
298.97439,2.2251,23.88
299.01972,2.979,32
299.04085,7.8335,84.25
299.0561,6.4039,68.86
299.07724,20.984,225.79
299.0925,5.6402,60.64
299.11362,14.0712,151.38
299.12888,3.3262,35.74
299.15001,1.8274,19.6
299.16527,1.4137,15.15
299.25048,1.7331,18.59
299.25133,1.1941,12.79
300.08059,2.6786,28.77
300.09586,1.4815,15.88
300.11699,2.061,22.12
300.8086,4.2331,45.5
300.80951,25.8433,278.09
300.999,1.2578,13.47
301.03537,4.984,53.58
301.0565,7.0307,75.61
301.07176,7.0833,76.17
301.09289,8.1387,87.53
301.10815,5.8643,63.05
301.12927,2.0593,22.1
301.14453,3.5028,37.64
301.81287,1.8617,19.97
302.03062,1.2474,13.36
302.06702,1.6518,17.71
302.07512,1.6622,17.83
302.11151,1.6887,18.11
302.80656,9.4445,101.59
302.80746,13.7616,148.05
302.91216,1.4519,15.56
303.01464,2.8413,30.52
303.05102,9.195,98.9
303.06628,1.4895,15.97
303.07215,2.4164,25.94
303.08741,10.2932,110.72
303.10854,1.7012,18.24
303.1238,7.9339,85.33
303.16018,3.1311,33.64
304.04629,1.183,9.18
304.05439,1.9109,14.89
304.08266,1.7389,13.54
304.09076,1.9281,15.02
304.12714,1.4239,11.07
304.80451,4.0919,32
305.03029,6.2463,48.89
305.04555,1.3686,10.64
305.06667,11.7868,92.35
305.08194,1.6187,12.6
305.10306,12.2646,96.1
305.13944,6.2356,48.81
305.17583,1.9596,15.27
305.1792,5.5045,43.07
305.21436,1.7497,13.62
305.21455,1.5753,12.26
305.21559,45.6833,358.21
306.06193,2.1761,16.97
306.07003,2.0224,15.76
306.0983,1.9701,15.35
306.10642,1.9916,15.52
306.1428,1.4695,11.43
306.21894,7.7714,60.85
306.90143,1.5879,12.36
307.00956,1.97,15.35
307.0248,1.2953,10.06
307.04594,10.4484,81.85
307.0612,2.357,18.39
307.08233,18.5385,145.3
307.09758,1.5728,12.24
307.11871,15.8494,124.21
307.1551,4.447,34.78
307.19485,2.9378,22.94
307.21139,2.3581,18.4
308.04119,1.6204,12.61
308.04929,1.5062,11.72
308.07758,2.6742,20.88
308.08568,3.4587,27.03
308.11397,1.5871,12.35
308.12207,2.8402,22.18
308.84036,1.5496,12.05
308.85905,1.3824,10.74
308.89939,1.495,11.63
309.02521,5.0493,39.5
309.04046,2.8406,22.18
309.06159,17.9706,140.85
309.07684,3.2804,25.63
309.09798,30.9636,242.76
309.11324,2.042,15.92
309.13436,13.9301,109.16
309.17075,1.7988,14.01
309.17413,1.2597,9.78
310.05684,1.6123,12.55
310.06494,2.218,17.3
310.09322,2.4508,19.12
310.10132,4.9099,38.41
310.13771,2.4771,19.33
310.83831,2.6939,21.03
311.01972,1.9998,15.59
311.04085,9.4812,74.26
311.05611,3.9735,31.07
311.07724,25.8755,202.85
311.0925,3.5732,27.93
311.11362,24.7415,193.95
311.12888,2.1937,17.11
311.15001,4.6381,36.28
311.16864,6.7629,52.94
312.05132,1.2726,9.88
312.07248,1.5274,11.88
312.08059,3.7295,29.15
312.10886,1.1735,9.1
312.11698,4.8329,37.81
312.83626,1.6538,12.87
313.02012,1.6747,13.04
313.03537,4.1285,32.28
