m/z,I,S/N
204.8162,0.4721,78.65
205.01293,0.4797,79.92
212.20282,0.4621,76.97
214.93501,0.598,75.22
216.15667,0.4714,59.31
216.93297,0.8076,101.59
217.28373,0.5445,68.49
220.90109,0.655,82.39
222.42908,0.6039,75.97
222.4292,0.6279,78.99
222.4298,0.4778,60.1
222.58309,0.4886,61.46
222.89905,0.524,65.92
228.1887,0.4515,56.8
235.6392,0.4519,56.85
239.76043,1.2736,160.22
239.87655,0.4545,57.17
240.58543,0.4666,58.69
240.76481,0.5578,70.17
241.75748,1.2519,157.49
241.75839,1.172,147.44
242.83882,2.7193,342.08
242.83898,7.242,911.04
242.83908,0.6674,83.95
243.20457,0.5631,70.83
243.24854,0.4721,59.39
243.26166,0.8517,107.14
243.75544,1.3364,168.12
245.75248,0.5754,72.38
246.9792,0.5121,64.41
246.99008,0.4829,60.74
246.99757,0.5301,66.68
248.896,2.6351,331.5
249.61103,0.4949,62.26
250.89305,0.8097,101.86
250.89395,3.1867,400.89
252.13114,0.4856,61.09
252.89106,1.1612,146.08
253.29968,0.4801,60.39
254.36008,13.7671,1731.9
254.36027,2.9653,373.03
254.86216,1.2246,154.06
256.44811,0.4609,57.97
256.85921,1.0975,138.07
256.86012,1.4191,178.53
258.85717,1.1764,147.98
261.13761,0.6626,83.36
264.74239,0.8856,24.23
264.85061,2.589,70.92
264.89096,0.8991,24.6
264.9114,0.4565,12.47
265.14799,1.9842,54.34
266.74035,2.2453,61.5
266.74206,1.1946,32.7
266.84813,0.5035,13.76
266.84836,0.6653,18.19
266.84857,7.1725,196.54
266.88891,1.18,32.3
266.98448,0.4767,13.02
267.03731,0.5234,14.3
267.8519,0.6069,16.59
268.7383,1.1086,30.34
268.74001,2.2737,62.27
268.84652,3.2144,88.06
268.88596,0.5035,13.76
270.73798,1.2867,35.23
271.06465,0.691,18.9
275.12889,0.6991,19.12
275.16528,0.5067,13.85
277.10816,0.5622,15.37
277.11939,0.7203,19.7
277.14454,0.8123,22.22
277.54044,0.48,13.11
277.572,0.493,13.47
277.57663,0.4782,13.07
277.57979,0.5861,16.02
277.63494,0.5093,13.92
278.84849,0.5032,13.75
278.90654,1.2233,33.49
278.90694,0.4625,12.64
279.08742,0.6514,17.81
279.09865,0.738,20.18
279.1238,0.7671,20.98
279.16017,0.5097,13.93
279.16357,0.6056,16.56
280.90448,1.2834,35.13
281.10306,0.7483,20.47
281.1143,0.9037,24.73
281.11485,0.5354,14.63
282.96114,0.7649,20.92
283.1187,0.5793,15.84
283.70987,0.8067,22.07
284.9591,0.5303,14.49
285.07684,0.9332,25.53
285.12446,0.4942,13.5
285.70689,0.769,21.03
285.70781,2.2355,61.23
285.70805,0.7765,21.24
285.70824,0.7519,20.57
287.10373,0.4993,13.64
287.12886,0.8207,22.45
287.70486,1.5364,42.07
287.70578,0.8609,23.55
288.99038,0.4882,13.34
288.99173,0.5174,14.14
288.99684,0.4931,13.47
289.00368,0.4912,13.42
289.00402,0.4701,12.84
289.02714,0.4685,12.8
289.10812,0.8655,23.68
289.11939,0.5337,14.59
289.14454,0.5948,16.26
289.70283,0.4976,13.6
289.72663,2.8999,79.44
289.72681,1.3713,37.54
289.98655,0.4702,12.85
290.73201,2.5345,69.42
290.7322,3.0135,82.55
290.98536,1.4423,39.49
290.98553,2.2701,62.18
290.98576,0.5336,14.58
291.08741,0.6251,17.09
291.09863,1.0233,28.01
291.12378,1.2092,33.1
291.12405,0.462,12.62
291.13503,0.8669,23.72
291.16018,0.9811,26.85
292.11905,0.6865,18.77
292.84543,2.5097,68.74
292.8457,0.8204,22.44
292.8459,0.706,19.31
292.88179,0.6032,16.49
293.10305,0.9837,26.92
293.11429,1.5607,42.73
293.13943,1.4087,38.57
293.17919,2.3978,65.68
293.17944,0.6504,17.78
294.09835,0.565,15.44
294.10959,0.5981,16.35
294.84344,4.4054,120.7
294.87983,1.042,28.52
294.93787,3.404,93.25
295.08237,0.7703,21.07
295.09361,1.1103,30.39
295.11877,1.4049,38.46
295.12999,1.1207,30.67
295.13403,0.4892,13.37
295.13739,0.4903,13.4
295.15515,0.5972,16.33
295.61053,0.6191,16.93
295.61322,0.6647,18.18
295.61449,0.4573,12.49
295.94123,0.4661,12.73
296.114,0.5905,16.14
296.8414,2.62,71.77
296.85909,0.9048,24.76
296.87778,0.7274,19.9
296.93492,1.3931,38.14
296.93583,4.2736,117.09
297.09802,1.1384,31.16
297.10925,1.2202,33.4
297.11328,0.5257,14.37
297.1344,1.2061,33.02
297.14966,0.6711,18.35
297.15185,0.4591,12.54
297.15304,18.7261,513.2
297.93918,0.659,18.02
298.09327,0.4606,12.58
298.15639,3.1856,87.27
298.81159,4.7191,129.3
298.93287,1.5406,42.18
298.97266,0.9868,27.01
299.07728,0.7702,21.07
299.09254,0.6821,18.65
