m/z,I,S/N
214.93506,0.425,78.37
215.98567,0.4035,74.39
216.93301,0.5101,94.06
217.25484,0.403,74.31
217.26957,0.4506,83.09
217.28421,0.4445,81.97
222.58287,0.5239,96.6
226.36828,0.3992,73.61
227.98593,0.4557,84.03
228.14666,0.4018,74.09
228.14679,0.4627,85.32
228.16295,0.4062,74.89
228.5208,0.507,93.48
229.99792,0.4251,78.39
239.76043,2.9844,78.55
240.58498,0.4194,11.02
241.75748,3.0791,81.05
241.75838,3.0801,81.07
242.81771,0.4122,10.83
242.82105,0.4256,11.19
242.83919,1.6278,42.84
242.83935,5.1511,135.6
242.83955,1.6682,43.9
242.83968,0.6076,15.98
243.20513,0.42,11.04
243.26223,0.7083,18.63
243.26242,0.5399,14.2
243.75452,1.0084,26.53
243.75543,3.1673,83.37
245.75219,0.4108,10.8
245.75248,1.3464,35.43
246.9053,0.4352,11.44
246.97192,0.401,10.54
246.97213,0.4,10.51
246.97474,0.4116,10.82
246.97568,0.4174,10.97
246.97588,0.427,11.22
246.9762,0.4396,11.56
246.9809,0.4065,10.68
248.89599,2.2924,60.33
250.89304,0.8962,23.58
250.89394,2.5565,67.29
252.89104,0.9505,25.01
254.32218,0.4422,11.62
254.34054,0.3939,10.35
254.34083,0.5602,14.73
254.34116,0.4425,11.63
254.34916,0.4176,10.98
254.35923,0.6033,15.86
254.35935,0.5793,15.23
254.36011,8.9122,234.62
254.36092,0.5194,13.66
254.36107,0.4366,11.48
254.37567,0.4978,13.09
254.37811,0.486,12.78
254.3792,0.4436,11.66
254.39845,0.4847,12.74
254.72583,0.4252,11.18
254.86215,0.8198,21.56
256.42342,0.5481,14.41
256.43526,0.4812,12.65
256.44265,0.4849,12.75
256.4429,0.4145,10.89
256.85919,0.487,12.8
256.8601,0.9015,23.72
258.85714,0.6024,15.84
261.1388,0.4503,11.84
261.25117,0.3972,10.44
264.74237,0.9833,25.87
264.85059,1.5402,40.53
264.89093,0.5019,13.19
266.65865,0.4141,10.88
266.665,0.3987,10.48
266.66568,0.4437,11.66
266.74032,1.9782,52.06
266.74203,0.9017,23.72
266.84853,3.375,88.84
266.88887,0.5968,15.69
266.99533,0.4142,10.89
267.0761,0.5234,13.76
267.07639,0.5251,13.81
267.12386,0.5523,14.52
268.73827,1.2124,31.9
268.73998,2.2216,58.47
268.7498,0.4325,11.37
268.84649,1.6217,42.68
268.98303,0.6207,16.32
269.1031,0.4456,11.71
270.73793,1.2316,32.41
271.13402,0.4592,12.07
272.94043,0.524,13.78
273.11326,0.6773,17.81
273.14964,0.4818,12.67
275.09251,0.4935,12.97
275.10376,0.4616,12.13
275.12889,0.642,16.88
275.16529,0.5058,13.3
276.12416,0.4081,10.72
276.46234,0.4153,10.91
277.10816,0.6231,16.39
277.11939,0.4439,11.67
277.14454,0.8465,22.27
277.72472,0.4366,11.48
277.72625,0.4238,11.14
277.72681,0.4338,11.4
277.72908,0.432,11.36
277.73022,0.4185,11
277.73338,0.3969,10.43
278.84849,0.3976,10.45
278.90653,1.0347,27.22
279.08742,0.6265,16.48
279.09865,0.8412,22.13
279.1238,0.7245,19.06
279.13505,0.5141,13.52
280.08267,0.4594,12.08
280.11907,0.4568,12.01
280.90448,1.0669,28.07
281.07793,0.459,12.07
281.10307,0.5905,15.53
281.1143,0.7404,19.48
281.13946,0.5235,13.76
282.96114,0.5848,15.38
283.08234,0.41,10.78
283.11871,0.5696,14.98
283.13397,0.4411,11.59
283.13734,0.7931,20.86
283.70986,2.6989,71.04
284.12924,0.3979,10.46
284.9591,0.576,11.86
285.07684,0.436,8.95
285.08022,0.5696,11.73
285.09797,0.424,8.7
285.11323,0.4918,10.11
285.12447,0.4247,8.72
285.70691,1.769,36.67
285.70781,4.9359,102.52
287.12888,0.7317,15.1
287.14009,0.4168,8.55
287.16527,0.447,9.18
287.70486,3.281,68.11
287.70576,2.4692,51.23
288.26973,0.4125,8.46
289.08297,0.4234,8.69
289.10814,0.6553,13.51
289.11937,0.7362,15.19
289.14452,0.8877,18.34
289.7019,0.5818,11.98
289.70281,1.5812,32.76
289.7253,0.4025,8.25
289.72566,2.5904,53.75
289.7259,3.2361,67.18
289.72608,0.4076,8.36
290.10338,0.4643,9.54
290.70717,0.6053,12.47
290.70734,0.4077,8.36
290.73194,1.6024,33.2
290.73215,7.6023,157.97
290.98463,0.5189,10.67
290.98476,0.448,9.2
290.98497,2.0571,42.66
290.98526,0.5172,10.64
291.08737,0.6599,13.61
291.09862,0.9399,19.43
291.12379,0.8591,17.75
291.13501,0.7933,16.38
291.16016,0.8243,17.02
292.11903,0.5441,11.2
292.13027,0.4399,9.03
292.20972,0.4653,9.56
292.84541,1.55,32.12
292.89142,0.4564,9.37
293.07788,0.5115,10.52
293.10304,1.1594,23.99
293.11427,1.7693,36.68
293.13942,1.2387,25.64
293.15065,0.4839,9.95
293.1758,0.3984,8.17
294.09831,0.7456,15.39
294.10954,0.7657,15.81
294.42429,0.4286,8.8
294.8434,2.1704,45.02
294.93783,0.8392,17.33
295.08234,0.857,17.7
295.09357,1.1643,24.1
295.11872,1.333,27.6
295.12995,0.9958,20.59
295.13735,0.4399,9.03
295.15511,0.4662,9.58
295.62831,0.4149,8.51
296.11396,0.6351,13.09
296.84135,1.4976,31.03
296.85904,0.6158,12.69
296.93578,0.9689,20.03
297.0616,0.4408,9.05
297.09798,1.49,30.87
297.10921,1.2861,26.63
297.13436,1.0702,22.14
297.14961,2.4475,50.78
297.15194,0.6809,14.04
297.15206,0.6516,13.43
297.15299,35.4204,736.43
297.84731,0.4557,9.36
298.09322,0.5128,10.55
298.15634,6.6509,138.18
298.81155,1.4401,29.83
298.857,0.4762,9.79
298.97325,0.8208,16.95
299.07724,0.6755,13.93
299.09249,0.5441,11.2
299.09586,0.4378,8.99
299.10372,0.5635,11.6
299.11362,0.8841,18.27
299.12486,0.4522,9.29
299.12889,0.8273,17.09
299.14012,0.4491,9.22
299.14878,1.6365,33.91
299.15971,0.4055,8.32
299.16527,0.5043,10.37
299.24952,0.4484,9.21
299.25026,0.4606,9.46
300.12413,0.4436,9.11
300.8086,0.4786,9.84
300.80951,2.6947,55.92
301.09289,0.6055,12.48
301.10814,0.695,14.34
301.11939,0.6989,14.42
301.12928,0.467,9.6
301.14453,1.0177,21.05
301.15575,0.514,10.57
301.18092,0.4205,8.63
302.11464,0.6642,13.7
302.13978,0.4595,9.44
302.80656,1.078,22.3
302.80746,1.6015,33.19
302.93326,0.4051,8.31
303.0874,0.5505,11.33
303.09864,0.9423,19.48
303.10853,0.5163,10.62
303.1238,1.5852,32.85
303.13503,0.9331,19.29
303.16019,1.2022,24.88
304.0939,0.5386,11.08
304.11904,0.5571,11.47
304.13028,0.697,14.38
305.07791,0.5741,11.82
305.10307,1.2936,26.78
305.1143,2.1103,43.77
305.13945,1.738,36.02
305.15069,0.3981,8.16
305.17584,0.8115,16.76
305.57423,0.433,8.89
306.09831,0.6298,12.98
306.10955,1.1527,23.85
306.11766,0.5614,11.56
306.1347,0.6874,14.18
306.14594,0.4321,8.87
307.08233,0.8902,18.4
307.09356,2.0903,43.35
307.11872,2.138,44.34
307.12995,2.7561,57.2
307.1551,1.5729,32.59
307.19149,0.4268,8.76
308.07756,0.5865,12.08
308.08881,0.5127,10.55
308.09692,0.4436,9.11
308.11396,1.4825,30.71
308.12207,0.4283,8.79
308.12519,1.3397,27.74
308.1333,0.5009,10.3
308.15036,0.4889,10.05
308.89939,0.4476,9.19
309.06158,0.4573,9.39
309.07283,0.6158,12.69
309.09798,2.028,42.06
309.10921,3.8639,80.23
309.13436,2.121,43.99
309.1456,1.2484,25.84
309.153,0.9483,19.6
309.17075,0.82,16.93
310.09322,1.1575,23.95
310.10446,0.763,15.75
310.11256,0.5775,11.89
310.12961,0.8323,17.19
310.13773,0.4812,9.89
310.14083,0.4965,10.21
310.83831,0.4279,8.78
311.07723,0.9051,18.71
311.08848,1.0606,21.94
311.11363,1.8631,38.63
311.12486,1.5285,31.67
311.15001,1.0567,21.86
311.16221,0.8279,17.1
311.16235,0.8241,17.02
311.16475,4.9232,102.26
311.16727,1.8324,37.99
311.16746,1.7904,37.11
311.16864,80.6953,1677.89
311.16979,0.838,17.31
311.16995,0.6861,14.15
311.17217,0.6107,12.58
311.17521,0.5122,10.53
312.10888,0.8275,17.09
312.16802,0.8188,16.91
312.17052,0.4779,9.82
312.17077,0.4717,9.69
312.17098,0.4565,9.38
312.17199,15.0711,313.28
312.17492,0.4205,8.63
313.09289,1.4904,30.88
313.10413,0.7201,14.86
313.11938,0.5779,11.9
313.12928,1.2772,26.44
313.14452,0.8213,16.96
313.16443,4.0377,83.84
313.17289,0.5722,11.78
313.17535,1.3594,28.15
313.18092,0.4733,9.73
314.08814,0.4816,9.9
314.16778,0.8467,17.49
314.80645,0.4091,8.39
315.07214,0.5569,11.47
315.08743,0.5002,10.29
315.09863,0.4198,8.61
315.10852,1.1502,23.8
315.12379,0.9949,20.57
315.13502,0.6358,13.11
315.14492,0.6022,12.41
315.16018,1.0251,21.2
316.11904,0.4792,9.85
316.13028,0.562,11.57
316.15544,0.4456,9.15
316.80443,0.5588,11.5
317.10306,0.8772,18.12
317.11429,1.1545,23.89
317.13945,1.3384,27.72
317.15068,0.7104,14.66
317.17582,0.6962,14.36
317.18705,0.4163,8.54
317.20144,0.4959,10.2
317.20496,0.4093,8.4
317.20593,0.4141,8.49
317.20615,0.4484,9.21
317.20814,0.4014,8.23
317.21163,0.6313,13.01
317.21475,0.4338,8.91
317.21735,0.5479,11.28
317.21867,0.3974,8.15
317.22034,0.548,11.28
317.22382,0.5395,11.1
317.23435,0.421,8.64
318.09832,0.5508,11.34
318.10954,0.9618,19.88
318.13469,0.6952,14.34
318.14592,0.6168,12.71
319.08232,0.8965,18.53
319.09356,1.8459,38.27
319.11871,2.0486,42.48
319.12994,2.0982,43.52
319.15509,2.0385,42.27
319.16632,0.487,10.01
320.07758,0.5397,11.11
320.0888,0.5546,11.42
320.11395,1.3858,28.7
320.12206,0.5121,10.53
320.12518,2.1148,43.86
320.15035,0.6128,12.63
321.0616,0.4629,9.51
321.07282,0.7145,14.74
321.09798,2.1438,44.46
321.10921,5.5619,115.54
321.12855,0.5701,11.74
321.13436,3.7026,76.88
