m/z,I,S/N
220.90099,0.4762,87.07
221.35913,0.4165,76.16
222.42869,0.4153,75.93
222.42911,0.6073,111.06
228.14623,0.5292,96.78
228.17844,0.4149,75.87
228.77768,0.4064,74.31
229.99756,0.4149,75.86
233.01319,0.5062,84.64
236.96816,0.424,70.89
239.47053,0.4017,67.16
239.76027,0.9392,157.05
239.76042,1.1611,194.16
241.75822,1.0441,174.6
241.75838,1.1223,187.68
242.83842,0.5872,98.18
242.83854,1.8815,314.65
242.83865,1.9501,326.13
242.83888,5.471,914.97
242.85711,0.5361,89.64
243.02156,0.6994,116.95
243.75523,1.214,203.01
243.75543,1.0828,181.08
245.75251,0.4339,72.55
246.96342,0.4028,67.35
246.96584,0.4396,73.49
246.96839,0.4292,71.77
246.96994,0.4649,77.73
246.97116,0.4399,73.55
246.97154,0.4297,71.85
248.89585,0.5733,95.87
248.896,0.9553,159.75
250.89288,0.5827,97.44
250.89304,0.4711,78.77
250.89378,1.0881,181.95
250.89396,0.8428,140.92
250.96316,0.4158,69.52
252.7254,0.4124,68.95
252.89091,0.6138,102.64
253.29962,0.5613,93.86
254.31608,0.4164,69.62
254.36002,7.7337,1293.39
254.86201,1.3757,230.06
256.42624,0.4842,80.96
256.427,0.4925,82.34
256.42785,0.4482,74.93
256.42862,0.4072,68.08
256.42927,0.4899,81.9
256.43419,0.4266,71.32
256.4355,0.4607,77.03
256.43644,0.4164,69.61
256.85906,1.1165,186.71
256.85966,0.4557,76.2
256.85996,1.7367,290.43
258.85702,1.2804,214.11
260.58485,0.4233,70.77
264.74225,1.2249,204.84
264.85046,2.3566,394.11
264.8908,0.8337,139.41
266.64934,0.3992,66.73
266.6507,0.426,71.23
266.6523,0.4162,69.59
266.6548,0.4437,74.18
266.65583,0.452,75.57
266.7402,2.9005,485.07
266.74037,0.4131,69.06
266.74191,1.2737,213
266.84841,5.1045,853.67
266.84859,0.5915,98.91
266.88876,0.8176,136.72
267.11473,0.4319,72.21
267.85176,0.4217,70.5
268.73815,1.7489,292.48
268.73986,2.9163,487.71
268.74007,0.4767,79.7
268.74019,0.4008,67.01
268.84636,2.7529,460.39
268.98291,0.9173,153.38
270.73783,1.1043,184.67
271.70409,0.4023,67.25
272.94039,0.5377,89.9
273.11321,0.6259,104.66
273.12444,0.4428,74.04
273.14961,0.6341,106.04
274.93834,0.6465,108.1
275.09247,0.5795,96.9
275.12886,0.8353,139.68
277.02073,0.5387,90.07
277.08298,0.5568,93.09
277.10812,0.6933,115.93
277.11935,0.7228,120.87
277.1445,0.7026,117.48
277.70463,0.4995,83.51
277.71741,0.4932,82.45
278.10336,0.4206,70.32
278.90649,1.1818,197.62
279.08739,0.513,85.78
279.09862,0.6936,115.98
279.12378,0.5717,95.6
280.90352,0.4904,81.99
280.90445,1.0702,178.96
281.10303,0.7459,124.72
281.11427,0.7164,119.79
281.13942,0.4172,69.76
282.9015,0.5014,12.63
282.96112,0.6867,17.33
283.0823,0.4463,11.23
283.09352,0.5292,13.33
283.11867,0.586,14.77
283.70983,1.901,48.14
284.95907,0.664,16.75
285.07682,0.8212,20.74
285.1132,0.6256,15.78
285.14958,0.4316,10.86
285.70688,1.4028,35.5
285.70779,3.5019,88.76
287.09245,0.5647,14.23
287.10369,0.4815,12.12
287.12885,0.5993,15.11
287.14008,0.4551,11.45
287.16524,0.6367,16.06
287.70483,2.2787,57.72
287.70574,1.658,41.97
289.10811,0.7823,19.75
289.11935,0.6839,17.26
289.1445,1.0521,26.6
289.15572,0.4024,10.12
289.18089,0.4497,11.31
289.46653,0.4822,12.14
289.70188,0.4516,11.36
289.70279,1.2387,31.34
289.72626,1.9128,48.44
289.72644,3.7888,96.04
289.7266,3.4056,86.32
289.72679,2.4099,61.05
289.72705,2.3481,59.48
289.74385,0.4354,10.95
290.10336,0.4095,10.29
290.73205,13.1806,334.35
290.93325,0.5985,15.09
290.98529,1.1142,28.18
290.98559,1.5435,39.07
