m/z,I,S/N,Res.
212.42191,0.4934,74.49,3263768
219.90094,0.5054,76.3,1866688
222.42957,0.5302,80.06,2843690
222.45736,0.4993,75.38,1405563
222.5834,0.4958,74.85,3771839
228.14646,0.509,76.85,3658089
229.82952,0.5122,77.33,1666477
230.01176,0.5471,82.62,2336675
231.48711,0.503,75.94,2360413
231.7661,0.4961,74.9,1562453
231.94723,0.5208,78.63,1338211
232.93989,0.4999,75.46,1994971
238.1947,0.5596,42.64,2248922
240.59457,0.5455,41.56,2126289
241.7584,0.5056,38.52,2916276
241.96212,0.9667,73.67,3706677
242.81708,0.6791,51.75,2392347
242.83886,0.9365,71.37,1226171
242.83902,4.8458,369.38,3985029
242.83911,3.1039,236.59,6554767
242.83921,3.5405,269.88,4019848
242.83932,1.9759,150.6,4822492
242.83943,1.1511,87.73,3824946
242.85718,0.5637,42.95,33434553
242.85728,0.7012,53.43,1253981
242.85745,0.665,50.67,660258
242.85757,0.8604,65.57,1204340
242.86093,0.5258,40.07,4311620
246.98438,0.522,39.77,2542891
246.98544,0.4987,38,2159087
248.896,0.8927,68.03,1771945
250.78163,0.5205,39.66,1919341
250.89396,0.8992,68.53,3601067
252.89101,0.5584,42.55,1806528
253.29967,0.6566,50.03,3841412
254.33807,0.4928,37.55,1846591
254.35994,0.5705,43.47,1190745
254.36015,2.2528,171.71,2461169
254.37165,0.5306,40.43,2929767
254.37312,0.5664,43.16,1270642
254.86212,0.9292,70.81,2894878
256.85916,0.6611,50.38,2685719
256.86007,0.8614,65.64,2461678
258.85711,0.6196,47.21,2932735
260.55319,0.4994,38.05,1779815
263.09253,0.7197,54.84,3036332
263.12891,0.7112,54.19,1690481
264.08777,0.5857,44.63,3223201
264.74232,0.5572,42.46,2624807
264.85055,1.1005,83.87,2944886
264.89088,0.6402,48.79,1875667
265.07178,0.5948,45.33,2893308
265.10816,1.0842,82.63,2705833
265.1194,0.5535,42.18,2659917
265.14455,0.5852,44.59,2822984
265.14792,1.2976,98.9,2373705
266.63251,0.5249,39.99,4847345
266.74029,0.8786,66.96,2415404
266.74199,0.5161,39.32,1771850
266.8485,2.5368,193.36,2930073
266.88883,0.6879,52.42,2492636
267.08742,1.0761,82.01,2769811
267.12381,1.2348,94.11,2469527
268.08268,0.5332,40.63,2963939
268.73994,0.8292,63.19,2686898
268.84645,1.5969,121.71,2833981
269.06668,0.5475,41.72,1971566
269.10307,1.22,92.98,2598608
269.13947,0.5511,41.99,2455439
271.08232,0.6622,50.46,2006311
271.11871,0.6591,50.22,2250396
271.17034,0.5722,43.6,2221887
273.07687,0.5197,39.6,2750076
273.10204,0.5115,38.97,1966137
273.11326,0.6368,48.52,2663043
273.14964,0.5894,44.91,2721710
273.84222,0.5624,42.85,2087758
275.09252,0.8079,61.57,2313161
275.12891,0.9749,74.3,2679935
277.07178,0.8849,67.44,2643552
277.10816,1.9257,146.78,2556220
277.1194,0.8924,68.01,2013561
277.14455,1.0123,77.15,2495314
278.06703,0.5319,40.53,2226870
278.10341,0.9906,75.49,2667591
278.90654,0.5489,41.82,2203409
279.08742,1.9738,150.45,2459036
279.09866,1.401,106.78,2523198
279.12381,2.582,196.81,2411118
279.16019,0.7969,60.73,2585393
280.08267,1.1812,90.02,2630807
280.11906,1.0566,80.53,2246435
281.06668,1.3013,99.18,2502529
281.07792,0.6135,46.75,2098725
281.10307,3.7931,289.13,2670852
281.1143,1.3644,103.99,2534676
281.13945,2.1138,161.12,2673351
281.61882,0.5464,41.63,1722106
282.06193,0.571,43.51,2128468
282.09831,1.5293,116.56,2498219
282.10641,0.6037,46,2802532
282.96114,0.6392,48.71,2162061
283.08233,2.3282,177.46,2716484
283.09355,0.701,53.42,3157656
283.11737,0.5414,41.25,2014979
283.11871,3.117,237.59,2499934
283.12994,0.5065,38.59,2791341
283.15509,0.678,51.67,3078082
284.07757,0.6815,51.93,2569883
284.11395,0.9094,69.3,2754628
284.12206,0.663,50.52,2556096
284.9591,0.5527,7.76,3065572
285.06159,0.8611,12.19,3006812
285.07685,0.8587,12.15,2106870
285.09797,2.7574,39.44,2681975
285.12446,0.568,7.98,2135072
285.13437,1.0814,15.36,2412339
285.1496,0.7377,10.42,1963037
287.07724,1.2498,17.78,2653064
287.0925,0.847,11.99,2599791
287.10374,0.6243,8.79,2324322
287.11363,0.9775,13.86,3231569
287.12888,1.1171,15.87,2001486
287.16527,0.7107,10.03,2605381
289.07178,0.6017,8.46,1952876
289.08301,0.5429,7.62,2886653
289.0929,0.5688,7.99,2276766
289.10815,1.4151,20.15,2576825
289.11938,0.9065,12.84,2698065
289.14453,1.6232,23.14,2529254
289.72587,4.0331,57.78,2834382
289.7261,6.0072,86.15,2730309
289.72627,1.4735,20.99,7029137
290.06702,0.5502,7.72,2415795
290.1034,0.8737,12.37,2770032
290.1115,0.6079,8.55,2364953
290.73205,11.9082,170.97,2524876
290.73225,2.3536,33.64,849795
290.93329,0.5055,7.08,2308706
290.98534,0.7636,10.79,3040816
290.98553,0.5583,7.84,3535823
290.9858,1.4336,20.42,1511475
291.08742,1.968,28.1,2659798
291.09865,1.7261,24.62,2455835
291.1238,3.0512,43.67,2589011
291.13503,1.2084,17.18,2611258
291.16018,1.7208,24.55,2304423
292.08266,1.3012,18.51,2575512
292.09078,0.5853,8.23,1106853
292.11905,1.4284,20.34,2696132
292.12716,0.5149,7.21,2342319
292.16354,0.5638,7.92,1838482
292.84545,1.7069,24.35,2343125
293.06668,1.4653,20.87,2479933
293.07791,1.099,15.61,2667789
293.10307,5.4118,77.59,2672637
293.1143,2.5484,36.44,2622936
293.13945,3.8504,55.15,2618777
293.17583,0.9691,13.74,2616828
293.17921,2.2496,32.15,2694226
294.06193,0.5086,7.12,2633066
294.0983,2.3296,33.3,2635818
294.10641,1.1584,16.46,2351636
294.10955,0.5598,7.86,2104372
294.11763,0.4929,6.9,2123380
294.1347,0.9611,13.63,2645803
294.1428,0.7816,11.05,2288041
294.15478,0.5941,8.35,2722968
294.8434,2.8144,40.26,2519799
294.87979,0.9814,13.92,2637602
294.93783,3.0511,43.67,2793735
295.08232,4.1616,59.63,2649925
295.09356,2.4016,34.33,2582817
295.11871,6.8334,98.03,2578412
295.12995,1.8079,25.8,2574920
295.1551,2.1286,30.41,2511974
295.63983,0.5231,7.33,1742663
296.07757,1.8482,26.38,2696534
296.08568,0.6576,9.26,2372164
296.11396,2.4605,35.18,2670927
296.12207,1.2577,17.89,2678746
296.12519,0.6478,9.12,2632565
296.15034000000003,0.5461,7.66,2167088
296.84135,1.5893,22.66,2704600
296.87774,0.7861,11.11,2272668
296.93487,1.3656,19.44,2673784
296.93578,3.8967,55.82,2746622
297.06159,2.416,34.54,2565430
297.07283,0.6355,8.95,2604641
297.07684,0.5364,7.52,1746402
297.09798,9.5962,137.74,2639310
297.10921,2.5783,36.87,2557128
297.11732,0.7458,10.53,1151214
297.13436,6.0713,87.07,2638396
297.14559,0.5642,7.92,2548028
297.15299,3.4067,48.78,2761600
297.17075,0.6969,9.83,2782664
298.05684,0.5794,8.14,1395358
298.06494,0.5549,7.79,1856606
298.09323,3.0267,43.32,2582760
298.10133,1.4899,21.23,2674218
298.12962,1.3889,19.77,2658809
298.13772,1.2094,17.2,2642062
298.15634,0.6438,9.07,2325895
298.81155,5.9322,85.07,2695573
298.93282,1.3092,18.63,2338996
299.07724,4.9856,71.47,2708000
299.08848,0.7671,10.84,2362220
299.0925,0.8002,11.31,2619190
299.09659,0.5616,7.88,2519609
299.11362,6.897,98.94,2583691
299.12486,0.6823,9.62,2660406
299.12889,1.0667,15.15,2603109
299.15001,1.7961,25.63,2740087
299.16526,0.7641,10.8,1391785
299.2488,0.5576,7.83,2058690
299.24992,0.7372,10.41,2910680
300.07249,0.6088,8.56,2542829
300.08059,0.6679,9.41,2109971
300.10888,1.1379,16.17,2689812
300.11698,1.0644,15.11,2474093
300.49997,0.5747,8.07,1762411
300.8086,1.7798,25.39,2551731
300.80951,9.7135,139.42,2616483
301.0565,0.9141,12.95,2571646
301.07176,0.6816,9.61,2088054
301.09289,3.9814,57.04,2606942
301.10815,1.0396,14.75,2708755
301.11939,0.8261,11.69,2383252
301.12927,2.3355,33.38,2626859
301.14453,1.5552,22.17,2496047
301.18091,0.7772,10.98,2233386
301.36544,0.7162,10.11,2225342
301.81286,0.784,11.08,2550772
302.09624,0.6816,9.61,2528964
302.1034,0.6,8.44,2617987
302.13262,0.5164,7.23,1777760
302.13978,0.5485,7.7,2285501
302.80656,3.6813,52.72,2633688
302.80746,5.2895,75.84,2602510
302.86694,0.5005,7.01,1914180
302.87061,0.4995,6.99,2713519
302.87193,0.569,7.99,2605387
302.87344,0.7332,10.35,947251
302.87376,0.846,11.97,2047248
302.87405,0.5314,7.45,2148653
302.87564,0.6006,8.45,1769053
302.87671,0.8192,11.59,1513258
302.89271,0.5419,7.6,1898586
302.91218,0.5025,7.04,2268900
303.05103,0.533,7.47,2610581
303.05438,0.6563,9.25,1988056
303.06225,0.5329,7.47,1931499
303.07215,1.1256,15.99,2499572
303.08741,1.7918,25.57,2407979
303.09865,1.3509,19.23,2445707
303.10854,1.4122,20.11,2691060
303.12379,3.2611,46.68,2397406
303.13503,1.031,14.63,2754081
303.16018,2.3072,32.97,2334936
303.81082,0.5244,7.35,1954812
303.99868,0.5716,8.03,1728449
304.08266,0.9909,14.05,2469760
304.11905,1.1622,16.52,2494806
304.12716,0.6077,8.55,2223314
304.23705,0.6015,8.46,2705395
304.80452,1.5008,21.38,2615643
305.06667,1.2251,17.42,2709918
305.07791,1.0097,14.33,2442339
305.10306,4.1864,59.98,2508505
305.11429,2.551,36.48,2525967
305.13945,3.9005,55.87,2521522
305.15067,0.5932,8.34,2973481
