m/z,I,S/N,Res.
234.40649,0.3783,68.43,1875578
242.83956,1.0222,185.07,5542274
242.83966,3.2486,588.34,4178406
242.83981,6.7216,1217.41,2374962
242.84,2.1301,385.74,1145085
242.85807,0.5777,104.56,2574847
243.02218,0.4595,83.14,2324705
243.02237,0.4335,78.44,3230497
243.26226,0.3934,71.18,1914592
243.62824,0.4052,73.31,2039778
251.12919,0.3799,68.73,1614957
251.80414,0.3885,70.28,994938
254.34276,0.3976,71.94,3451811
254.34883,0.4559,82.5,1999367
254.36021,9.3651,1696.24,3729787
254.36939,0.4732,85.62,3084174
254.37197,0.5593,101.23,2268582
256.43437,0.4174,75.52,1776767
256.75014,0.3855,69.73,1278841
257.31092,0.4262,77.12,1416852
259.0979,0.4115,74.45,1390997
261.07717,0.3823,69.15,1181265
261.11323,0.4064,73.52,1425560
263.09247,0.7399,18.93,796840
263.09271,0.5648,14.43,2497752
263.12892,0.4722,12.05,2706500
263.12909,0.6271,16.03,1776519
265.0715,0.4218,10.76,832392
265.07176,0.4583,11.7,456323
265.10812,0.5047,12.89,1268565
265.10834,0.413,10.54,2315710
266.65389,0.3911,9.97,3000525
266.67411,0.4986,12.73,1861638
266.6752,0.4154,10.6,1722348
266.67823,0.3853,9.82,2087713
267.08741,0.5071,12.95,1625736
267.12368,0.5694,14.55,839347
269.10289,0.6676,17.07,185672
269.10302,0.677,17.31,769697
269.10322,0.5663,14.47,2855150
270.42326,0.382,9.74,1367462
271.08258,0.5285,13.5,1101302
271.09753,0.4757,12.14,1896094
271.09774,0.4731,12.08,2130742
272.09289,0.429,10.95,2006718
273.0769,0.7075,18.1,2643126
273.11328,1.388,35.57,2864441
273.14967,0.8786,22.49,2421986
273.25611,0.3915,9.98,2049306
273.63658,0.4044,10.31,2110800
274.10853,0.5017,12.81,2003916
274.93762,0.4031,10.28,2130145
275.05614,0.5268,13.46,2401733
275.09253,1.5361,39.37,2673593
275.10376,0.3996,10.19,2700656
275.12615,0.3876,9.88,862574
275.12892,1.7267,44.26,2511797
275.1653,0.542,13.85,2919608
276.08777,0.6166,15.76,2332658
276.09589,0.3873,9.87,2530242
277.07178,0.9232,23.64,2984846
277.10816,2.6933,69.08,2738316
277.11941,0.4871,12.44,2612923
277.14455,1.3544,34.71,2642183
277.24897,0.3898,9.94,2147566
277.6643,0.4518,11.53,1317229
277.71347,0.3995,10.19,1897236
278.1034,1.0777,27.6,3032295
278.11152,0.4699,11.99,2515116
279.05103,0.4482,11.44,2179811
279.08741,2.1122,54.16,2658602
279.09865,0.5654,14.45,2643152
279.1238,2.4614,63.13,2777825
279.16019,0.5071,12.95,2488330
279.94814,0.3823,9.75,1055594
280.08266,0.6845,17.5,2354552
280.11905,0.7842,20.07,2983737
281.06668,1.001,25.63,2278195
281.10306,2.9262,75.06,2718290
281.1143,0.5992,15.32,2760398
281.13944,1.2788,32.76,2783800
282.09831,0.6929,17.72,2778195
282.10641,0.4757,12.14,2853141
283.08233,1.599,40.99,2786558
283.09758,0.6862,17.55,2261019
283.11871,1.6624,42.62,2620821
283.13396,0.6913,17.68,2640794
283.1551,0.4155,10.6,1600361
283.24205,0.3903,9.95,1993132
284.12205,0.3955,10.09,2417653
285.07684,0.6529,16.69,2026118
285.09797,1.1484,29.42,2432839
285.11323,1.2952,33.19,2539244
285.13436,0.6164,15.76,2905000
285.14962,0.8245,21.1,2219182
286.10848,0.4249,10.84,3000573
287.05612,0.4112,10.49,2146961
287.09249,1.4569,37.34,2484055
287.10373,0.4432,11.31,2024742
287.11362,0.5654,14.45,2443847
287.12888,1.8556,47.58,2506104
287.16527,0.6829,17.46,2502605
288.08775,0.5282,13.49,2917150
288.12413,0.4724,12.06,2710204
289.07176,0.7994,20.45,2457939
289.07513,0.4069,10.38,1386411
289.10814,2.5017,64.16,2581512
289.11938,0.4295,10.96,2666114
289.14453,1.7854,45.77,2540436
289.1809,0.4339,11.07,2275719
289.72518,2.1094,54.09,1941028
289.72532,2.249,57.68,1095348
289.72568,0.8474,21.69,1256383
289.72583,0.5577,14.25,5082829
289.72605,2.2016,56.46,4928940
290.06701,0.518,13.23,2102397
290.1034,0.9962,25.51,2583436
290.1479,0.3964,10.11,2578992
290.7321,8.895,228.32,3104467
290.73227,0.5991,15.31,2245056
290.98392,0.517,13.21,6174440
290.98404,0.7073,18.09,3650320
290.98439,2.6026,66.75,2310015
291.05103,0.4045,10.32,2784926
291.08741,2.5412,65.18,2729801
291.09864,0.6654,17.01,2624461
291.1238,3.3202,85.18,2595989
291.13503,0.6589,16.85,1961928
291.16018,1.3038,33.41,2424519
292.08266,1.1199,28.69,2819689
292.09077,0.5057,12.91,2192268
292.11904,1.2869,32.97,2441832
292.12715,0.6367,16.28,2813839
292.33189,0.3905,9.96,1704399
292.33453,0.4003,10.21,1282601
293.03207,0.4098,10.45,2727543
293.06668,1.3306,34.1,2334539
293.10306,4.7931,123,2632602
293.11429,0.9986,25.57,2585300
293.13944,2.7477,70.48,2569679
293.17583,0.4978,12.71,2735906
294.06193,0.486,12.41,2098393
294.09831,1.616,41.42,2750393
294.10642,0.6663,17.04,2731241
294.13468,0.7267,18.59,2148392
294.14281,0.5637,14.4,2697891
295.08233,2.5472,65.33,2703666
295.09356,0.735,18.8,2279581
