m/z,I,S/N,Res.
180.60501,1.1756,88.2,3083270
180.70589,1.4861,111.55,3217750
181.47154,2.3911,179.61,3416777
181.47167,3.3039,248.25,3701624
181.69451,2.4462,183.75,3201268
181.96503,1.275,95.67,7791502
181.9651,1.4045,105.42,1507511
182.51288,1.3897,104.3,2505259
185.38465,1.339,100.49,2669716
185.39522,1.2426,93.24,2825976
186.12917,1.3778,103.41,3518245
195.81097,5.5647,418.26,3527893
197.80801,10.9275,821.54,3479007
198.31919,1.4266,107.08,3990275
199.80506,6.254,470.1,3396493
201.8021,1.4842,111.41,3280861
202.73759,2.6058,195.75,4207532
202.8646,1.237,92.82,4180266
207.34272,1.4029,69.81,3017891
233.04558,1.272,63.29,2512892
235.06123,1.4136,70.34,2583936
237.07689,1.1817,58.8,2086232
239.05614,1.18,58.71,2586762
239.09254,1.2619,62.79,3009172
239.76041,1.4196,70.63,3306095
242.8395,7.1848,357.51,3707864
242.83961,2.4702,122.91,6365357
242.83971,2.7615,137.41,3991400
242.83981,1.5833,78.78,9564896
242.83997,18.2508,908.15,2574398
242.8401,2.3744,118.14,3188439
243.02269,1.7989,89.51,3091138
243.75541,1.5759,78.42,2032435
249.07687,1.6006,79.64,2773091
249.11325,1.2245,60.93,2300767
250.89393,1.4838,73.83,1716566
251.05614,1.7333,86.24,2521112
251.09252,2.6087,129.8,2752896
253.07177,2.3365,116.26,2787225
253.10816,1.6283,81.02,2756055
253.29961,1.3124,14.06,1519041
254.22714,1.4208,15.23,2975736
254.36007,18.1723,195.52,3471473
254.3767,1.5565,16.69,3159312
254.86209,2.0115,21.58,2870696
255.05105,1.2995,13.92,2352635
255.08743,3.1605,33.95,2786520
256.85913,1.1714,12.54,2661444
256.86004,1.4715,15.77,3199124
257.06668,1.6185,17.36,2466174
258.85709,1.5588,16.71,2400883
259.0612,1.597,17.12,2837391
259.09759,1.3488,14.45,2205371
261.04046,2.0237,21.72,2596241
261.07686,2.0565,22.07,2685112
261.11323,1.5577,16.7,2806758
263.0561,2.8838,30.97,2189188
263.0925,3.2092,34.48,2361302
