m/z,I,S/N,Res.
204.8162,0.4721,78.65,2016106
205.01293,0.4797,79.92,4178284
212.20282,0.4621,76.97,3162067
214.93501,0.598,75.22,4110539
216.15667,0.4714,59.31,3235398
216.93297,0.8076,101.59,3469845
217.28373,0.5445,68.49,3502519
220.90109,0.655,82.39,2577077
222.42908,0.6039,75.97,3099247
222.4292,0.6279,78.99,3235293
222.4298,0.4778,60.1,1809226
222.58309,0.4886,61.46,2321093
222.89905,0.524,65.92,3363129
228.1887,0.4515,56.8,2552537
235.6392,0.4519,56.85,1802184
239.76043,1.2736,160.22,3121219
239.87655,0.4545,57.17,1851314
240.58543,0.4666,58.69,1753679
240.76481,0.5578,70.17,2278921
241.75748,1.2519,157.49,3046745
241.75839,1.172,147.44,3209458
242.83882,2.7193,342.08,2403628
242.83898,7.242,911.04,4165681
242.83908,0.6674,83.95,1210297
243.20457,0.5631,70.83,1752691
243.24854,0.4721,59.39,1698024
243.26166,0.8517,107.14,2057710
243.75544,1.3364,168.12,3190357
245.75248,0.5754,72.38,2461140
246.9792,0.5121,64.41,3644944
246.99008,0.4829,60.74,2257941
246.99757,0.5301,66.68,1866752
248.896,2.6351,331.5,2879481
249.61103,0.4949,62.26,2513386
250.89305,0.8097,101.86,3801378
250.89395,3.1867,400.89,2872584
252.13114,0.4856,61.09,2491625
252.89106,1.1612,146.08,2480079
253.29968,0.4801,60.39,4132756
254.36008,13.7671,1731.9,2412447
254.36027,2.9653,373.03,505752
254.86216,1.2246,154.06,2726863
256.44811,0.4609,57.97,1507713
256.85921,1.0975,138.07,2302213
256.86012,1.4191,178.53,2781754
258.85717,1.1764,147.98,2415159
261.13761,0.6626,83.36,2765263
264.74239,0.8856,24.23,2691089
264.85061,2.589,70.92,3028446
264.89096,0.8991,24.6,2496607
264.9114,0.4565,12.47,692795
265.14799,1.9842,54.34,2732317
266.74035,2.2453,61.5,2442264
266.74206,1.1946,32.7,2339338
266.84813,0.5035,13.76,14547227
266.84836,0.6653,18.19,590524
266.84857,7.1725,196.54,2532644
266.88891,1.18,32.3,2112650
266.98448,0.4767,13.02,2445384
267.03731,0.5234,14.3,1202357
267.8519,0.6069,16.59,2332553
268.7383,1.1086,30.34,3191819
