m/z,I,S/N,Res.
214.93506,0.425,78.37,2734988
215.98567,0.4035,74.39,2317667
216.93301,0.5101,94.06,3749788
217.25484,0.403,74.31,2640179
217.26957,0.4506,83.09,2449555
217.28421,0.4445,81.97,2712390
222.58287,0.5239,96.6,2275556
226.36828,0.3992,73.61,3419128
227.98593,0.4557,84.03,1892486
228.14666,0.4018,74.09,2651334
228.14679,0.4627,85.32,3561088
228.16295,0.4062,74.89,1993562
228.5208,0.507,93.48,3421847
229.99792,0.4251,78.39,3217707
239.76043,2.9844,78.55,2585023
240.58498,0.4194,11.02,3328268
241.75748,3.0791,81.05,2534233
241.75838,3.0801,81.07,2069387
242.81771,0.4122,10.83,1839454
242.82105,0.4256,11.19,1871874
242.83919,1.6278,42.84,1563183
242.83935,5.1511,135.6,3203704
242.83955,1.6682,43.9,4733235
242.83968,0.6076,15.98,1415510
243.20513,0.42,11.04,2445820
243.26223,0.7083,18.63,2840938
243.26242,0.5399,14.2,1228383
243.75452,1.0084,26.53,2652638
243.75543,3.1673,83.37,2532627
245.75219,0.4108,10.8,8991384
245.75248,1.3464,35.43,1664182
246.9053,0.4352,11.44,1516919
246.97192,0.401,10.54,2822927
246.97213,0.4,10.51,1423473
246.97474,0.4116,10.82,2063505
246.97568,0.4174,10.97,1439094
246.97588,0.427,11.22,1663413
246.9762,0.4396,11.56,1568240
246.9809,0.4065,10.68,1731894
248.89599,2.2924,60.33,2049312
250.89304,0.8962,23.58,2763168
250.89394,2.5565,67.29,2350508
252.89104,0.9505,25.01,2569176
254.32218,0.4422,11.62,2629425
254.34054,0.3939,10.35,3281314
254.34083,0.5602,14.73,1494589
254.34116,0.4425,11.63,1897615
254.34916,0.4176,10.98,2206311
254.35923,0.6033,15.86,105688364
254.35935,0.5793,15.23,761544
254.36011,8.9122,234.62,3458537
254.36092,0.5194,13.66,8904668
254.36107,0.4366,11.48,669921
254.37567,0.4978,13.09,2388002
254.37811,0.486,12.78,1846526
254.3792,0.4436,11.66,3095266
254.39845,0.4847,12.74,3143975
254.72583,0.4252,11.18,2276466
254.86215,0.8198,21.56,2348439
256.42342,0.5481,14.41,1675913
256.43526,0.4812,12.65,2913784
256.44265,0.4849,12.75,1978611
256.4429,0.4145,10.89,3619927
256.85919,0.487,12.8,3535006
256.8601,0.9015,23.72,2709803
258.85714,0.6024,15.84,3087318
261.1388,0.4503,11.84,2686086
261.25117,0.3972,10.44,1732344
264.74237,0.9833,25.87,2865710
264.85059,1.5402,40.53,2630732
264.89093,0.5019,13.19,2980130
266.65865,0.4141,10.88,1788311
266.665,0.3987,10.48,2361487
266.66568,0.4437,11.66,1915916
266.74032,1.9782,52.06,3091425
266.74203,0.9017,23.72,3110769
266.84853,3.375,88.84,2934792
266.88887,0.5968,15.69,2638486
266.99533,0.4142,10.89,1484559
267.0761,0.5234,13.76,1053145
267.07639,0.5251,13.81,1734981
267.12386,0.5523,14.52,2373258
268.73827,1.2124,31.9,2944221
268.73998,2.2216,58.47,2967354
268.7498,0.4325,11.37,1900552
268.84649,1.6217,42.68,3186379
268.98303,0.6207,16.32,3151007
269.1031,0.4456,11.71,2506660
270.73793,1.2316,32.41,3174450
271.13402,0.4592,12.07,2658348
272.94043,0.524,13.78,2841367
273.11326,0.6773,17.81,2715211
273.14964,0.4818,12.67,3049991
275.09251,0.4935,12.97,2081250
275.10376,0.4616,12.13,3483696
275.12889,0.642,16.88,2183622
275.16529,0.5058,13.3,2550538
276.12416,0.4081,10.72,2610570
276.46234,0.4153,10.91,2463926
277.10816,0.6231,16.39,2371336
277.11939,0.4439,11.67,3361231
277.14454,0.8465,22.27,2680330
277.72472,0.4366,11.48,2533602
277.72625,0.4238,11.14,1548616
277.72681,0.4338,11.4,1949971
277.72908,0.432,11.36,1393140
277.73022,0.4185,11,2457784
277.73338,0.3969,10.43,3130475
278.84849,0.3976,10.45,2606325
278.90653,1.0347,27.22,2852049
279.08742,0.6265,16.48,2765616
279.09865,0.8412,22.13,2286493
279.1238,0.7245,19.06,2756348
279.13505,0.5141,13.52,2599596
280.08267,0.4594,12.08,2425000
280.11907,0.4568,12.01,2814588
280.90448,1.0669,28.07,2560294
281.07793,0.459,12.07,2205313
281.10307,0.5905,15.53,2911509
281.1143,0.7404,19.48,2780072
281.13946,0.5235,13.76,2812614
282.96114,0.5848,15.38,2231331
283.08234,0.41,10.78,2968037
283.11871,0.5696,14.98,2657023
283.13397,0.4411,11.59,1903056
283.13734,0.7931,20.86,2542645
283.70986,2.6989,71.04,2657178
284.12924,0.3979,10.46,2187623
284.9591,0.576,11.86,2481930
285.07684,0.436,8.95,2451797
285.08022,0.5696,11.73,1669277
285.09797,0.424,8.7,3140390
285.11323,0.4918,10.11,2442152
285.12447,0.4247,8.72,2253115
285.70691,1.769,36.67,2467755
285.70781,4.9359,102.52,2616859
287.12888,0.7317,15.1,2718248
287.14009,0.4168,8.55,2124572
287.16527,0.447,9.18,3467684
