m/z,I,S/N,Res.
220.90099,0.4762,87.07,2611436
221.35913,0.4165,76.16,2605256
222.42869,0.4153,75.93,3914235
222.42911,0.6073,111.06,2400807
228.14623,0.5292,96.78,4326999
228.17844,0.4149,75.87,2563174
228.77768,0.4064,74.31,3109477
229.99756,0.4149,75.86,2735167
233.01319,0.5062,84.64,2090132
236.96816,0.424,70.89,2605540
239.47053,0.4017,67.16,2672082
239.76027,0.9392,157.05,1744211
239.76042,1.1611,194.16,1518079
241.75822,1.0441,174.6,1304437
241.75838,1.1223,187.68,1713902
242.83842,0.5872,98.18,1630246
242.83854,1.8815,314.65,5660527
242.83865,1.9501,326.13,3660315
242.83888,5.471,914.97,3766697
242.85711,0.5361,89.64,2678100
243.02156,0.6994,116.95,3792406
243.75523,1.214,203.01,1353197
243.75543,1.0828,181.08,2440526
245.75251,0.4339,72.55,1382310
246.96342,0.4028,67.35,2652397
246.96584,0.4396,73.49,2406715
246.96839,0.4292,71.77,1899269
246.96994,0.4649,77.73,3072656
246.97116,0.4399,73.55,2404810
246.97154,0.4297,71.85,2629579
248.89585,0.5733,95.87,3391305
248.896,0.9553,159.75,1623445
250.89288,0.5827,97.44,1111740
250.89304,0.4711,78.77,2624169
250.89378,1.0881,181.95,1236029
250.89396,0.8428,140.92,2214534
250.96316,0.4158,69.52,1460344
252.7254,0.4124,68.95,1774668
252.89091,0.6138,102.64,3215681
253.29962,0.5613,93.86,2695704
254.31608,0.4164,69.62,1918449
254.36002,7.7337,1293.39,3582322
254.86201,1.3757,230.06,2209275
256.42624,0.4842,80.96,2349368
256.427,0.4925,82.34,1794217
256.42785,0.4482,74.93,1973067
256.42862,0.4072,68.08,1787010
256.42927,0.4899,81.9,3133563
256.43419,0.4266,71.32,1302451
256.4355,0.4607,77.03,3323133
256.43644,0.4164,69.61,3556011
256.85906,1.1165,186.71,1810407
256.85966,0.4557,76.2,1941705
256.85996,1.7367,290.43,2281109
258.85702,1.2804,214.11,2156208
260.58485,0.4233,70.77,2095286
264.74225,1.2249,204.84,2672323
264.85046,2.3566,394.11,2216807
264.8908,0.8337,139.41,2255285
266.64934,0.3992,66.73,1016118
266.6507,0.426,71.23,1397044
266.6523,0.4162,69.59,2901435
266.6548,0.4437,74.18,2910663
266.65583,0.452,75.57,1896336
266.7402,2.9005,485.07,2365189
266.74037,0.4131,69.06,1704015
266.74191,1.2737,213,2345116
