m/z,I,S/N,Res.
222.36951,0.4601,81.65,3209603
222.42925,0.858,152.39,4011410
225.32984,0.4783,84.89,2143279
233.01275,0.5086,90.29,3074550
241.57678,0.4302,15.7,2493082
241.96198,0.5571,20.35,2429557
242.29245,0.6073,22.18,2623924
242.47439,0.5213,19.04,3191583
242.65661,0.5898,21.55,2490043
242.71124,0.4154,15.16,461542
242.83886,1.0317,37.73,6742232
242.83906,4.1816,153.1,2064835
242.83922,2.4779,90.7,3495149
242.85715,0.4379,15.98,3244073
246.90353,0.4326,15.79,2668001
249.8861,0.4956,18.09,1876684
254.33524,0.4311,15.73,1691532
254.36,9.17,335.81,4229261
254.37784,0.5299,19.35,3273075
254.86206,0.975,35.65,3103525
256.44188,0.441,16.09,1341990
256.44609,0.4305,15.71,1659277
256.85912,0.8188,29.93,2466931
256.86002,1.3193,48.27,2676201
258.85707,0.8629,31.55,2636988
259.13397,0.5301,19.36,1718297
261.11323,0.5746,20.99,2707414
261.13753,0.4589,16.75,2893440
261.14961,0.4259,15.54,3485937
262.97474,0.5402,19.73,2714018
263.09251,0.5467,19.97,2430053
263.12888,0.7042,25.74,1868686
263.16526,0.4274,15.6,1817166
264.85053,2.2559,82.57,2557026
264.89087,0.6488,23.71,2782767
264.90956,0.6745,24.65,2505413
265.10815,0.5791,21.15,2159855
265.11938,0.4525,16.52,2942889
265.14529,0.5261,19.21,3678897
265.14791,0.6803,24.86,2378529
266.84849,4.3649,159.81,2849282
266.88883,0.7088,25.9,2455050
267.06302,0.438,15.99,1290286
267.06363,0.4123,15.04,2684567
267.10267,0.4376,15.97,2447735
267.11811,0.4132,15.08,782251
267.12381,0.4276,15.61,3418265
268.84644,2.876,105.28,2739045
269.10307,0.4607,16.82,2429613
269.11832,0.4437,16.19,2155633
271.09758,0.534,19.5,2691463
271.13397,0.5582,20.39,3052294
273.11323,0.7098,25.94,2832182
273.14962,0.837,30.6,2271254
274.34406,0.4196,15.31,1709400
274.97164,0.5083,18.56,1929342
275.0925,0.7652,27.97,3097510
275.10373,0.5509,20.12,1696242
275.12888,1.1341,41.48,2836690
275.16528,0.6876,25.13,2411540
276.08775,0.4269,15.58,2548488
276.85054,0.547,19.98,2815161
277.07177,0.4889,17.85,2835331
277.08301,0.5339,19.5,2567871
277.10815,1.3218,48.36,2676882
277.11938,0.8083,29.55,2791193
277.14453,1.3704,50.14,2622654
277.18092,0.5286,19.31,2433465
277.24886,0.4406,16.08,843083
277.60497,0.4295,15.67,1484082
277.63741,0.5483,20.03,1882322
277.94611,0.4158,15.17,1671919
278.06702,0.4146,15.13,2242799
278.10339,0.7583,27.72,2025494
278.84849,0.8661,31.66,2466615
278.88485,0.4389,16.02,3100692
278.90652,0.6897,25.2,2668521
279.07481,0.4453,16.25,1213375
279.08741,1.0652,38.96,2859436
279.09865,0.8389,30.67,2472458
279.1238,1.7637,64.54,2759081
279.16018,0.7341,26.83,2621186
280.08267,0.5873,21.45,2548840
280.09076,0.424,15.47,2121393
280.11904,0.5166,18.87,2324579
280.84643,0.4686,17.11,2152379
280.90447,0.5224,19.08,2890169
281.06667,0.6121,22.36,2551474
281.10306,1.3364,48.89,2808681
281.11429,0.8581,31.37,2697332
281.13945,1.212,44.34,2429954
281.15469,0.4751,17.35,2554168
281.27996,0.4949,18.07,1828194
282.09832,0.5007,18.28,2371629
282.52877,0.4229,15.43,2199572
282.96114,0.4522,16.51,1803978
283.0612,0.5817,21.25,2084918
283.08233,0.7352,26.87,2556509
283.09356,0.6361,23.24,2972343
283.11871,1.0323,37.75,2536478
283.12995,0.442,16.13,2326861
283.1551,0.464,16.94,2023762
285.06158,0.4552,16.61,2157541
285.07685,1.2664,46.33,2675045
285.09798,0.5537,20.22,3494372
285.11323,0.6436,23.51,2907556
285.14961,0.7961,29.1,2384074
287.0925,0.6099,22.28,2799058
287.12888,1.1924,43.62,2732128
287.16526,0.9098,33.26,2352137
288.12411,0.4567,16.67,2676800
288.93534,0.5478,20.01,1536711
288.98729,1.3599,49.75,2687004
289.07176,0.4252,15.52,2567873
289.10815,1.2117,44.32,2716952
289.11938,0.8636,31.57,2495328
289.14453,1.6528,60.48,2571040
289.18093,0.5152,18.81,2392160
289.72576,1.071,39.17,1159807
289.72625,4.0687,148.96,2795232
289.72644,4.8167,176.36,3309120
289.72659,0.8561,31.3,4839673
290.1034,0.5829,21.29,3348611
290.13977,0.4978,18.17,2275594
290.98458,0.4803,17.53,962995
290.98481,0.7115,26,3791815
290.98517,1.5745,57.61,2984899
290.98545,1.0671,39.03,2117426
291.08741,1.3056,47.76,2541503
291.09865,0.9965,36.44,2755544
291.1238,2.5925,94.9,2477796
291.13503,0.8244,30.14,2584341
291.16019,1.4686,53.73,2749466
291.19657,0.5013,18.3,2444259
292.08266,0.6962,11.66,2487475
292.11904,0.8643,14.53,2676279
292.12715,0.6511,10.89,2379804
292.84545,0.805,13.52,2479882
292.86412,0.5997,10.02,2593326
292.88183,0.638,10.67,2685526
293.06667,0.7665,12.86,2278774
293.07791,0.7446,12.49,2649777
293.10306,2.768,47.03,2589179
293.11429,1.8425,31.23,2493600
293.13945,2.7871,47.36,2627102
293.17583,1.092,18.42,2313442
294.09832,1.3694,23.16,2374630
294.10955,0.5781,9.65,1548835
294.13471,0.6685,11.19,2525977
294.14281,0.5123,8.52,1774438
294.15572,0.4207,6.96,2198364
294.84341,1.393,23.56,2639476
294.8798,1.394,23.57,2453588
294.93784,10.7122,182.65,2658911
295.08233,1.7635,29.88,2611844
295.09357,1.4291,24.17,2635962
295.11873,3.3096,56.28,2556597
295.12995,0.9177,15.44,2650715
295.15511,1.4032,23.73,2653618
295.59885,0.4268,7.06,2361753
295.94119,1.2504,21.13,2883586
296.07758,0.7422,12.45,2666995
296.11397,1.388,23.47,2538405
296.12207,0.5674,9.47,2307096
296.15847,0.4862,8.08,2515813
296.84136,0.7359,12.34,2296819
296.85904,0.729,12.22,2484394
296.87774,0.7581,12.72,2611891
296.93488,4.235,72.07,2643803
296.93579,12.9394,220.67,2621889
297.0616,0.5644,9.41,2855916
297.07686,0.4545,7.54,2493374
297.09799,2.8522,48.47,2667879
297.10922,1.3608,23.01,2495612
297.11324,0.7173,12.02,2147102
297.13437,2.3321,39.59,2547611
297.14963,0.671,11.23,2262751
297.153,3.3596,57.13,2602760
297.17077,0.5006,8.32,2588540
297.93824,0.5916,9.88,2804730
297.93914,1.3459,22.75,2825650
298.09323,1.039,17.51,2713735
298.10134,0.605,10.11,2573090
298.12961,0.619,10.35,2589664
298.13773,0.5544,9.24,2481567
298.15636,0.614,10.26,2391959
298.81156,5.6716,96.6,2725981
298.93283,4.5388,77.26,2696943
299.07725,1.1334,19.13,2502476
299.08848,0.4753,7.89,1909370
299.0925,0.9397,15.82,2562272
299.11363,2.057,34.89,2441222
299.12486,0.4571,7.58,2278427
299.12889,0.8511,14.31,2666469
299.15002,0.584,9.75,2669313
299.16527,0.92,15.48,2311948
299.19404,0.422,6.98,1893171
299.24915,0.468,7.77,1407483
299.2495,0.4208,6.96,2366567
299.24974,0.5587,9.32,2968233
299.24993,0.4423,7.33,2800097
300.10887,0.4586,7.61,2895998
300.12416,0.4287,7.1,2357036
300.80861,1.5035,25.44,2583731
300.80952,9.9068,168.9,2640956
300.88626,0.4231,7,3060506
301.07176,0.4503,7.47,2694812
301.0929,0.8368,14.06,2318857
301.10816,1.3471,22.78,2409331
301.11939,0.5871,9.8,2746730
301.12928,0.6249,10.45,2587278
301.14454,1.7033,28.86,2382100
301.18092,0.6364,10.64,2406089
301.81287,0.8199,13.78,2364010
302.10341,0.555,9.25,2389919
302.11463,0.4641,7.7,2670165
302.13979,0.5774,9.63,2560013
302.80656,3.7757,64.23,2658032
302.80747,5.3482,91.08,2604013
302.91218,0.578,9.65,2393104
303.00294,0.9743,16.41,2358830
303.08742,1.3433,22.71,2623357
303.09865,1.1751,19.84,2400040
303.12381,2.9894,50.81,2654436
303.13503,0.8639,14.53,2506580
303.16018,2.2365,37.96,2514644
304.08266,0.7313,12.26,2618783
304.09388,0.448,7.43,2436569
304.11905,1.2797,21.62,2279799
304.12716,0.4867,8.09,2326668
304.1303,0.4248,7.03,2117471
304.16355,0.532,8.86,1882607
304.80452,1.5277,25.86,2425258
304.88183,0.4996,8.31,2375552
305.06666,0.6598,11.04,2548842
305.07792,0.8241,13.85,2801591
305.10306,3.0445,51.75,2488298
305.1143,2.0594,34.94,2406721
305.13945,3.7695,64.13,2534393
305.15067,0.5464,9.11,2431498
305.17584,1.4433,24.42,2477818
306.09831,1.2659,21.39,2590229
306.10642,0.4981,8.28,2899476
306.10954,0.8256,13.87,2187961
306.11765,0.4152,6.87,2666788
306.1347,0.92490000000000006,15.57,2622816
306.14281,0.6727,11.26,2309005
306.17918,0.4135,6.84,2010435
306.87978,0.8086,13.58,2542697
306.90144,0.6516,10.9,2322105
307.08233,2.3068,39.16,2429734
307.09356,2.3087,39.19,2568643
307.11871,5.8371,99.42,2526296
307.12994,2.0413,34.63,2606484
307.1551,3.5365,60.15,2417880
307.19149,0.5559,9.27,2156753
308.07758,1.1483,19.38,2579135
308.08567,0.4893,8.13,2029962
308.08881,0.4223,6.99,1636978
308.11396,2.6103,44.34,2445713
308.12206,1.0641,17.94,2674914
308.1252,0.9377,15.79,2232399
308.15033,0.6154,10.28,2427712
308.15846,0.6408,10.72,2507814
308.84035,0.7067,11.84,2186642
308.85904,0.7443,12.48,2476614
308.8994,0.5611,9.36,2849530
309.06159,0.8231,13.83,2510226
309.07282,0.9855,16.6,2325624
309.09798,5.4221,92.34,2523602
309.1092,3.6971,62.89,2501516
309.13436,6.8055,115.96,2441703
309.1456,1.1545,19.49,2418775
309.17074,1.7695,29.99,2530381
309.39398,0.4434,7.35,2716919
310.09322,2.1658,36.75,2546148
310.10132,0.8364,14.06,2291148
310.10446,0.5041,8.38,2441973
310.11255,0.6379,10.67,2001226
310.1296,1.5015,25.41,2610308
310.13771,1.16,19.58,2503767
310.83831,0.7865,13.21,2503173
311.07724,2.2408,38.03,2412821
311.08847,1.3217,22.34,2720622
311.0925,0.5386,8.97,2117046
311.09658,0.4488,7.44,2411863
311.11362,6.0653,103.32,2489763
311.12485,1.6297,27.6,2314187
311.12888,0.5072,8.44,2020841
311.15001,2.6549,45.1,2323425
311.16864,6.309,107.48,2438124
312.07249,0.5342,8.9,2872270
312.10887,1.7001,28.8,2333327
312.11697,1.0881,18.35,2391089
312.1282,0.4453,7.38,2302913
312.14526,0.4989,8.3,1826647
312.15335,0.5642,9.41,2445319
312.17199,1.1778,19.89,2189422
312.83626,0.545,9.08,2358068
313.0565,0.6546,10.95,2385704
313.09288,3.0567,51.96,2514365
313.10412,0.6845,11.46,2591763
313.10814,0.8234,13.84,2307024
313.12927,3.4183,58.13,2394304
313.14452,0.8873,14.93,2263613
313.16565,0.6872,11.51,2126554
314.08813,0.775,13.01,2578577
314.09624,0.4695,7.79,2651692
314.12452,0.4345,7.2,3076467
314.13262,0.6028,10.07,2232304
315.07215,0.8829,14.85,2415065
315.08739,0.9667,16.28,2179916
315.09862,0.6333,10.59,2435079
315.10853,1.9597,33.23,2458950
315.12379,1.6601,28.12,2465606
315.13501,0.5377,8.96,2271833
315.14492,0.7206,12.08,2843954
315.16017,1.7235,29.2,2318113
316.08265,0.464,7.7,2057986
316.11902,0.6891,11.54,1936460
317.06666,0.6207,10.37,2391246
317.07789,0.5663,9.45,2471769
317.08779,0.5269,8.77,2203841
317.10304,1.9956,33.85,2354001
317.11428,0.9807,16.52,2706018
317.12417,0.4476,7.42,2760314
317.13943,2.725,46.3,2393374
317.15068,0.6185,10.34,2495874
317.17583,1.4988,25.36,2160808
318.0983,0.7829,13.14,2578838
318.10953,0.6018,10.05,1459335
318.13468,0.851,14.31,2111095
318.14279,0.6188,10.34,2319641
319.05718,0.4483,7.43,1961545
319.08231,1.6036,27.15,2290672
319.09354,2.0305,34.44,2236227
319.11869,5.0531,86.04,2412096
319.12993,1.4082,23.82,2421107
319.15508,3.9749,67.63,2385040
319.19147,1.1781,19.89,2311115
320.07756,0.8738,14.69,2669594
320.08566,0.4404,7.3,1234654
320.09689,0.4383,7.26,1208356
320.11394,2.0223,34.3,2360592
320.12204,1.0518,17.73,2416316
320.12518,1.2523,21.16,2258134
320.13327,0.438,7.26,1935663
320.15033,0.8558,14.39,2246114
320.15844,0.9239,15.55,2290192
320.19478,0.4331,7.17,1120038
320.84037,0.4589,7.61,1862547
320.92274,0.7587,12.73,2352425
321.0616,1.0229,17.24,2396827
321.07283,0.986,16.61,2097209
321.09798,6.5386,111.4,2345160
321.10921,5.2967,90.2,2481116
321.13436,10.415,177.57,2405438
321.1456,1.4505,24.54,2118473
321.17075,3.8022,64.69,2415641
321.20712,0.4557,7.56,2789287
322.05685,0.4428,7.34,2463597
322.09323,3.8162,64.93,2447428
322.10132,1.2075,20.39,2510134
322.10445,1.4157,23.95,2176154
322.11256,0.906,15.25,2328886
322.12961,2.9046,49.36,2461754
322.13772,1.9392,32.88,2378069
322.14085,0.8257,13.87,2259542
322.16599,0.6544,10.95,2355977
322.17411,0.7952,13.35,2401703
322.83831,1.0027,16.9,2359740
322.85599,0.4473,7.41,2438939
322.8747,0.4781,7.94,2607928
323.07724,3.9124,66.57,2344868
323.08848,3.0311,51.52,2290068
323.09658,0.6026,10.07,2226024
323.11244,0.4279,7.08,589562
323.11363,13.4913,230.09,2340182
323.12486,5.0781,86.47,2325020
323.15001,8.5773,146.2,2363806
323.1864,1.6895,28.62,2252138
324.07249,1.777,30.11,2484617
324.08059,0.7892,13.25,2257410
324.09183,0.5431,9.05,2543319
324.10888,4.3051,73.27,2450240
324.11698,2.0898,35.45,2331073
324.1201,0.5925,9.89,2622024
324.12822,0.9426,15.87,2298647
324.14527,1.4681,24.84,2073187
324.15337,1.5319,25.93,2207880
324.17838,0.4703,7.81,1659005
324.18975,0.459,7.61,1504882
324.83627,0.5628,9.39,2231890
324.85397,0.4647,7.71,2531468
324.89035,0.5143,8.56,2167639
325.05651,1.1611,19.6,2440739
325.06775,0.4871,8.09,1985765
325.09289,9.4056,160.34,2376255
325.10413,3.6727,62.48,2326620
325.10815,0.4828,8.02,2608607
