m/z,I,S/N
222.36951,0.4601,81.65
222.42925,0.858,152.39
225.32984,0.4783,84.89
233.01275,0.5086,90.29
241.57678,0.4302,15.7
241.96198,0.5571,20.35
242.29245,0.6073,22.18
242.47439,0.5213,19.04
242.65661,0.5898,21.55
242.71124,0.4154,15.16
242.83886,1.0317,37.73
242.83906,4.1816,153.1
242.83922,2.4779,90.7
242.85715,0.4379,15.98
246.90353,0.4326,15.79
249.8861,0.4956,18.09
254.33524,0.4311,15.73
254.36,9.17,335.81
254.37784,0.5299,19.35
254.86206,0.975,35.65
256.44188,0.441,16.09
256.44609,0.4305,15.71
256.85912,0.8188,29.93
256.86002,1.3193,48.27
258.85707,0.8629,31.55
259.13397,0.5301,19.36
261.11323,0.5746,20.99
261.13753,0.4589,16.75
261.14961,0.4259,15.54
262.97474,0.5402,19.73
263.09251,0.5467,19.97
263.12888,0.7042,25.74
263.16526,0.4274,15.6
264.85053,2.2559,82.57
264.89087,0.6488,23.71
264.90956,0.6745,24.65
265.10815,0.5791,21.15
265.11938,0.4525,16.52
265.14529,0.5261,19.21
265.14791,0.6803,24.86
266.84849,4.3649,159.81
266.88883,0.7088,25.9
267.06302,0.438,15.99
267.06363,0.4123,15.04
267.10267,0.4376,15.97
267.11811,0.4132,15.08
267.12381,0.4276,15.61
268.84644,2.876,105.28
269.10307,0.4607,16.82
269.11832,0.4437,16.19
271.09758,0.534,19.5
271.13397,0.5582,20.39
273.11323,0.7098,25.94
273.14962,0.837,30.6
274.34406,0.4196,15.31
274.97164,0.5083,18.56
275.0925,0.7652,27.97
275.10373,0.5509,20.12
275.12888,1.1341,41.48
275.16528,0.6876,25.13
276.08775,0.4269,15.58
276.85054,0.547,19.98
277.07177,0.4889,17.85
277.08301,0.5339,19.5
277.10815,1.3218,48.36
277.11938,0.8083,29.55
277.14453,1.3704,50.14
277.18092,0.5286,19.31
277.24886,0.4406,16.08
277.60497,0.4295,15.67
277.63741,0.5483,20.03
277.94611,0.4158,15.17
278.06702,0.4146,15.13
278.10339,0.7583,27.72
278.84849,0.8661,31.66
278.88485,0.4389,16.02
278.90652,0.6897,25.2
279.07481,0.4453,16.25
279.08741,1.0652,38.96
279.09865,0.8389,30.67
279.1238,1.7637,64.54
279.16018,0.7341,26.83
280.08267,0.5873,21.45
280.09076,0.424,15.47
280.11904,0.5166,18.87
280.84643,0.4686,17.11
280.90447,0.5224,19.08
281.06667,0.6121,22.36
281.10306,1.3364,48.89
281.11429,0.8581,31.37
281.13945,1.212,44.34
281.15469,0.4751,17.35
281.27996,0.4949,18.07
282.09832,0.5007,18.28
282.52877,0.4229,15.43
282.96114,0.4522,16.51
283.0612,0.5817,21.25
283.08233,0.7352,26.87
283.09356,0.6361,23.24
283.11871,1.0323,37.75
283.12995,0.442,16.13
283.1551,0.464,16.94
285.06158,0.4552,16.61
285.07685,1.2664,46.33
285.09798,0.5537,20.22
285.11323,0.6436,23.51
285.14961,0.7961,29.1
287.0925,0.6099,22.28
287.12888,1.1924,43.62
287.16526,0.9098,33.26
288.12411,0.4567,16.67
288.93534,0.5478,20.01
288.98729,1.3599,49.75
289.07176,0.4252,15.52
289.10815,1.2117,44.32
289.11938,0.8636,31.57
289.14453,1.6528,60.48
289.18093,0.5152,18.81
289.72576,1.071,39.17
289.72625,4.0687,148.96
289.72644,4.8167,176.36
289.72659,0.8561,31.3
290.1034,0.5829,21.29
290.13977,0.4978,18.17
290.98458,0.4803,17.53
290.98481,0.7115,26
290.98517,1.5745,57.61
290.98545,1.0671,39.03
291.08741,1.3056,47.76
291.09865,0.9965,36.44
291.1238,2.5925,94.9
291.13503,0.8244,30.14
291.16019,1.4686,53.73
291.19657,0.5013,18.3
292.08266,0.6962,11.66
292.11904,0.8643,14.53
292.12715,0.6511,10.89
292.84545,0.805,13.52
292.86412,0.5997,10.02
292.88183,0.638,10.67
293.06667,0.7665,12.86
293.07791,0.7446,12.49
293.10306,2.768,47.03
293.11429,1.8425,31.23
293.13945,2.7871,47.36
293.17583,1.092,18.42
294.09832,1.3694,23.16
294.10955,0.5781,9.65
294.13471,0.6685,11.19
294.14281,0.5123,8.52
294.15572,0.4207,6.96
294.84341,1.393,23.56
294.8798,1.394,23.57
294.93784,10.7122,182.65
295.08233,1.7635,29.88
295.09357,1.4291,24.17
295.11873,3.3096,56.28
295.12995,0.9177,15.44
295.15511,1.4032,23.73
295.59885,0.4268,7.06
295.94119,1.2504,21.13
296.07758,0.7422,12.45
296.11397,1.388,23.47
296.12207,0.5674,9.47
296.15847,0.4862,8.08
296.84136,0.7359,12.34
296.85904,0.729,12.22
296.87774,0.7581,12.72
296.93488,4.235,72.07
296.93579,12.9394,220.67
297.0616,0.5644,9.41
297.07686,0.4545,7.54
297.09799,2.8522,48.47
297.10922,1.3608,23.01
297.11324,0.7173,12.02
297.13437,2.3321,39.59
297.14963,0.671,11.23
297.153,3.3596,57.13
297.17077,0.5006,8.32
297.93824,0.5916,9.88
297.93914,1.3459,22.75
298.09323,1.039,17.51
298.10134,0.605,10.11
298.12961,0.619,10.35
298.13773,0.5544,9.24
298.15636,0.614,10.26
298.81156,5.6716,96.6
298.93283,4.5388,77.26
299.07725,1.1334,19.13
299.08848,0.4753,7.89
299.0925,0.9397,15.82
299.11363,2.057,34.89
299.12486,0.4571,7.58
299.12889,0.8511,14.31
299.15002,0.584,9.75
299.16527,0.92,15.48
299.19404,0.422,6.98
299.24915,0.468,7.77
299.2495,0.4208,6.96
299.24974,0.5587,9.32
299.24993,0.4423,7.33
300.10887,0.4586,7.61
300.12416,0.4287,7.1
300.80861,1.5035,25.44
300.80952,9.9068,168.9
300.88626,0.4231,7
301.07176,0.4503,7.47
301.0929,0.8368,14.06
301.10816,1.3471,22.78
301.11939,0.5871,9.8
301.12928,0.6249,10.45
301.14454,1.7033,28.86
301.18092,0.6364,10.64
301.81287,0.8199,13.78
302.10341,0.555,9.25
302.11463,0.4641,7.7
302.13979,0.5774,9.63
302.80656,3.7757,64.23
302.80747,5.3482,91.08
302.91218,0.578,9.65
303.00294,0.9743,16.41
303.08742,1.3433,22.71
303.09865,1.1751,19.84
303.12381,2.9894,50.81
303.13503,0.8639,14.53
303.16018,2.2365,37.96
304.08266,0.7313,12.26
304.09388,0.448,7.43
304.11905,1.2797,21.62
304.12716,0.4867,8.09
304.1303,0.4248,7.03
304.16355,0.532,8.86
304.80452,1.5277,25.86
304.88183,0.4996,8.31
305.06666,0.6598,11.04
305.07792,0.8241,13.85
305.10306,3.0445,51.75
305.1143,2.0594,34.94
305.13945,3.7695,64.13
305.15067,0.5464,9.11
305.17584,1.4433,24.42
306.09831,1.2659,21.39
306.10642,0.4981,8.28
306.10954,0.8256,13.87
306.11765,0.4152,6.87
306.1347,0.92490000000000006,15.57
306.14281,0.6727,11.26
306.17918,0.4135,6.84
306.87978,0.8086,13.58
306.90144,0.6516,10.9
307.08233,2.3068,39.16
307.09356,2.3087,39.19
307.11871,5.8371,99.42
307.12994,2.0413,34.63
307.1551,3.5365,60.15
307.19149,0.5559,9.27
308.07758,1.1483,19.38
308.08567,0.4893,8.13
308.08881,0.4223,6.99
308.11396,2.6103,44.34
308.12206,1.0641,17.94
308.1252,0.9377,15.79
308.15033,0.6154,10.28
308.15846,0.6408,10.72
308.84035,0.7067,11.84
308.85904,0.7443,12.48
308.8994,0.5611,9.36
309.06159,0.8231,13.83
309.07282,0.9855,16.6
309.09798,5.4221,92.34
309.1092,3.6971,62.89
309.13436,6.8055,115.96
309.1456,1.1545,19.49
309.17074,1.7695,29.99
309.39398,0.4434,7.35
310.09322,2.1658,36.75
310.10132,0.8364,14.06
310.10446,0.5041,8.38
310.11255,0.6379,10.67
310.1296,1.5015,25.41
310.13771,1.16,19.58
310.83831,0.7865,13.21
311.07724,2.2408,38.03
311.08847,1.3217,22.34
311.0925,0.5386,8.97
311.09658,0.4488,7.44
311.11362,6.0653,103.32
311.12485,1.6297,27.6
311.12888,0.5072,8.44
311.15001,2.6549,45.1
311.16864,6.309,107.48
312.07249,0.5342,8.9
312.10887,1.7001,28.8
312.11697,1.0881,18.35
312.1282,0.4453,7.38
312.14526,0.4989,8.3
312.15335,0.5642,9.41
312.17199,1.1778,19.89
312.83626,0.545,9.08
313.0565,0.6546,10.95
313.09288,3.0567,51.96
313.10412,0.6845,11.46
313.10814,0.8234,13.84
313.12927,3.4183,58.13
313.14452,0.8873,14.93
313.16565,0.6872,11.51
314.08813,0.775,13.01
314.09624,0.4695,7.79
314.12452,0.4345,7.2
314.13262,0.6028,10.07
315.07215,0.8829,14.85
315.08739,0.9667,16.28
315.09862,0.6333,10.59
315.10853,1.9597,33.23
315.12379,1.6601,28.12
315.13501,0.5377,8.96
315.14492,0.7206,12.08
315.16017,1.7235,29.2
316.08265,0.464,7.7
316.11902,0.6891,11.54
317.06666,0.6207,10.37
317.07789,0.5663,9.45
317.08779,0.5269,8.77
317.10304,1.9956,33.85
317.11428,0.9807,16.52
317.12417,0.4476,7.42
317.13943,2.725,46.3
317.15068,0.6185,10.34
317.17583,1.4988,25.36
318.0983,0.7829,13.14
318.10953,0.6018,10.05
318.13468,0.851,14.31
318.14279,0.6188,10.34
319.05718,0.4483,7.43
319.08231,1.6036,27.15
319.09354,2.0305,34.44
319.11869,5.0531,86.04
319.12993,1.4082,23.82
319.15508,3.9749,67.63
319.19147,1.1781,19.89
320.07756,0.8738,14.69
320.08566,0.4404,7.3
320.09689,0.4383,7.26
320.11394,2.0223,34.3
320.12204,1.0518,17.73
320.12518,1.2523,21.16
320.13327,0.438,7.26
320.15033,0.8558,14.39
320.15844,0.9239,15.55
320.19478,0.4331,7.17
320.84037,0.4589,7.61
320.92274,0.7587,12.73
321.0616,1.0229,17.24
321.07283,0.986,16.61
321.09798,6.5386,111.4
321.10921,5.2967,90.2
321.13436,10.415,177.57
321.1456,1.4505,24.54
321.17075,3.8022,64.69
321.20712,0.4557,7.56
322.05685,0.4428,7.34
322.09323,3.8162,64.93
322.10132,1.2075,20.39
322.10445,1.4157,23.95
322.11256,0.906,15.25
322.12961,2.9046,49.36
322.13772,1.9392,32.88
322.14085,0.8257,13.87
322.16599,0.6544,10.95
322.17411,0.7952,13.35
322.83831,1.0027,16.9
322.85599,0.4473,7.41
322.8747,0.4781,7.94
323.07724,3.9124,66.57
