"M_cal";"MF";"C";"H";"N";"O";"P";"S";"O/C";"H/C";"N/C";"S/C";"DBE";"AI";"NOSC";"n_occurrence";"BottomWater";"NPEqIW";"SRNOM";"U1382A";"U1383C_Deep";"U1383C_Middle";"U1383C_Shallow"
278.07903816864;"C14H14O6";14;14;0;6;0;0;0.429;1;0;0;8;0.2;-0.14;1;0;0;7.35239;0;0;0;0
280.13107374245;"C15H20O5";15;20;0;5;0;0;0.333;1.333;0;0;6;0.1;-0.67;1;0;0;7.43401;0;0;0;0
282.07395278821;"C13H14O7";13;14;0;7;0;0;0.538;1.077;0;0;7;0;0;1;0;0;10.52583;0;0;0;0
282.11033829756;"C14H18O6";14;18;0;6;0;0;0.429;1.286;0;0;6;0;-0.43;1;0;0;12.8956;0;0;0;0
284.08960285267;"C13H16O7";13;16;0;7;0;0;0.538;1.231;0;0;6;-0.2;-0.15;1;0;0;15.56743;0;0;0;0
284.12598836202;"C14H20O6";14;20;0;6;0;0;0.429;1.429;0;0;5;-0.1;-0.57;1;0;0;8.22378;0;0;0;0
286.06886740778;"C12H14O8";12;14;0;8;0;0;0.667;1.167;0;0;6;-0.5;0.17;1;0;0;8.69203;0;0;0;0
290.07903816864;"C15H14O6";15;14;0;6;0;0;0.4;0.933;0;0;9;0.3;-0.13;1;0;0;7.0406;0;0;0;0
292.05830272375;"C14H12O7";14;12;0;7;0;0;0.5;0.857;0;0;9;0.3;0.14;1;0;0;7.7876;0;0;0;0
292.0946882331;"C15H16O6";15;16;0;6;0;0;0.4;1.067;0;0;8;0.2;-0.27;1;0;0;10.40111;0;0;0;0
292.20721606447;"C15H32O3S";15;32;0;3;0;1;0.2;2.133;0;0.0667;0;-0.4;-1.6;1;0;0;100;0;0;0;0
294.03756727886;"C13H10O8";13;10;0;8;0;0;0.615;0.769;0;0;9;0.2;0.46;1;0;0;6.12698;0;0;0;0
294.07395278821;"C14H14O7";14;14;0;7;0;0;0.5;1;0;0;8;0.1;0;1;0;0;13.44217;0;0;0;0
294.11033829756;"C15H18O6";15;18;0;6;0;0;0.4;1.2;0;0;7;0.1;-0.4;2;5.40776;0;17.70023;0;0;0;0
296.05321734332;"C13H12O8";13;12;0;8;0;0;0.615;0.923;0;0;8;0;0.31;1;0;0;9.55499;0;0;0;0
296.08960285267;"C14H16O7";14;16;0;7;0;0;0.5;1.143;0;0;7;0;-0.14;1;0;0;20.37227;0;0;0;0
296.12598836202;"C15H20O6";15;20;0;6;0;0;0.4;1.333;0;0;6;0;-0.53;2;6.8283;0;17.7429;0;0;0;0
298.06886740778;"C13H14O8";13;14;0;8;0;0;0.615;1.077;0;0;7;-0.2;0.15;1;0;0;19.37135;0;0;0;0
298.08412354907;"C17H14O5";17;14;0;5;0;0;0.294;0.824;0;0;11;0.5;-0.24;1;0;0;4.44316;0;0;0;0
298.10525291713;"C14H18O7";14;18;0;7;0;0;0.5;1.286;0;0;6;-0.1;-0.29;2;9.58904;0;28.51379;0;0;0;0
298.14163842648;"C15H22O6";15;22;0;6;0;0;0.4;1.467;0;0;5;-0.1;-0.67;2;6.06677;0;10.72998;0;0;0;0
300.08451747224;"C13H16O8";13;16;0;8;0;0;0.615;1.231;0;0;6;-0.4;0;1;0;0;22.95702;0;0;0;0
300.09977361353;"C17H16O5";17;16;0;5;0;0;0.294;0.941;0;0;10;0.4;-0.35;1;0;0;6.17052;0;0;0;0
300.12090298159;"C14H20O7";14;20;0;7;0;0;0.5;1.429;0;0;5;-0.3;-0.43;2;6.89185;0;15.39424;0;0;0;0
302.07903816864;"C16H14O6";16;14;0;6;0;0;0.375;0.875;0;0;10;0.4;-0.12;1;0;0;7.74931;0;0;0;0
302.11542367799;"C17H18O5";17;18;0;5;0;0;0.294;1.059;0;0;9;0.3;-0.47;1;0;0;6.41569;0;0;0;0
304.05830272375;"C15H12O7";15;12;0;7;0;0;0.467;0.8;0;0;10;0.4;0.13;1;0;0;10.05956;0;0;0;0
304.0946882331;"C16H16O6";16;16;0;6;0;0;0.375;1;0;0;9;0.3;-0.25;1;0;0;11.26102;0;0;0;0
304.13107374245;"C17H20O5";17;20;0;5;0;0;0.294;1.176;0;0;8;0.2;-0.59;1;0;0;8.67988;0;0;0;0
306.07395278821;"C15H14O7";15;14;0;7;0;0;0.467;0.933;0;0;9;0.2;0;1;0;0;12.89505;0;0;0;0
306.11033829756;"C16H18O6";16;18;0;6;0;0;0.375;1.125;0;0;8;0.2;-0.38;1;0;0;13.41778;0;0;0;0
