

Dataset: BottomWater.csv

Pre-alignment:

Start ppm error: 2.50000000

Error StdDev distribution along mass:

MassMedian,LowError,HighError,ErrorMean,ErrorStdDev,Count
277.46671000,-0.0839518639527706,0.0503711183716623,-0.01042628,0.02614425,692
323.08286000,-0.120349543000845,0.120524821871766,0.00041740,0.03035112,705
341.12329500,-0.0982748606554599,0.0841916348502584,-0.00877103,0.03410308,677
353.63597000,-0.0839976070874025,0.139512559257801,0.02230946,0.03120760,626
364.15928500,-0.109098308611278,0.109000645675377,0.00120807,0.02838497,601
374.15420000,-0.0678035328554279,0.0406821197132567,-0.01427866,0.02447161,588
383.11906000,-0.104429167873722,0.104366602926486,0.00273331,0.03109375,609
391.09217500,-0.131090463359184,0.119302503707803,-0.00519300,0.03683002,625
398.06361500,-0.112797964236418,0.08931073969371,-0.01161526,0.02982500,532
404.09806000,-0.0822615001198702,0.0706972089459289,-0.00526151,0.02536077,638
410.63206500,-0.11708492628311,0.129798691369403,0.00527221,0.03691033,603
417.61159000,-0.055731850509957,0.0924740157999657,0.01450140,0.02756483,649
424.07888500,-0.113754069842653,0.126675374883088,0.01166378,0.03535751,565
429.59092500,-0.127678171942939,0.150762327087359,0.01145545,0.03832366,637
434.62883500,-0.149014295368168,0.125947449239801,-0.00941561,0.04103964,609
439.61739000,-0.204288243688815,0.158775911124183,-0.01958606,0.05032033,555
444.15800000,-0.112836550636381,0.0677019303818285,-0.01976333,0.03144029,626
448.70497500,-0.100113328637871,0.166472631229841,0.02879739,0.04441518,616
453.67489500,-0.0915810145672872,0.125557730880553,0.01843638,0.03642147,594
458.62676500,-0.0873306241705655,0.08717692465216,0.00207885,0.02880699,595
463.12785000,-0.0866706005888594,0.0862507156146917,-0.00557996,0.02801048,583
467.63009500,-0.103127614121024,0.114429631831702,0.00483632,0.03179979,545
472.14487500,-0.0849675879509867,0.0850110774903094,0.00790891,0.03125431,639
476.67251000,-0.0841558526946422,0.0840146988734644,0.00233617,0.02901450,616
481.14035000,-0.158778332934712,0.128175200103196,-0.01380920,0.03966308,567
485.12718500,-0.17784098456662,0.106492440885166,-0.03957563,0.04069217,621
489.08131000,-0.154098008225146,0.0922492533464726,-0.03419451,0.04224963,616
492.61811500,-0.155331993624212,0.125373605703031,-0.01530257,0.04008951,585
495.73176500,-0.161080163532983,0.160969830361645,0.00035602,0.04666799,556
499.20391500,-0.110317517170461,0.130097561800063,0.00983300,0.03730908,589
503.09895000,-0.112339491372877,0.162782015689549,0.02698166,0.04112907,619
506.60749500,-0.128480703518541,0.108636215782125,-0.00634356,0.03864045,597
509.69394000,-0.108023248190908,0.12766004393375,0.01285515,0.03809846,579
513.19967500,-0.0939242424650785,0.104338094422384,0.00733367,0.03163006,615
517.12744000,-0.0997382971238584,0.0907810155440055,-0.00213681,0.03430057,588
520.62147000,-0.124961233850488,0.105598582934352,-0.00752867,0.03727088,580
523.67730000,-0.145597259690034,0.1176278231893,-0.01390928,0.04018940,566
527.15755500,-0.123324090264581,0.104234551576918,-0.00935231,0.03660504,587
530.62370500,-0.12249802326947,0.103567390953207,-0.00518159,0.03664272,603
533.71507500,-0.102900970725689,0.121350532599422,0.00913019,0.03542183,610
537.23898500,-0.102304736317228,0.120956757422397,0.01148874,0.03815158,588
541.13800000,-0.134821384476497,0.126273813850457,-0.00098223,0.03943555,598
544.61293500,-0.094621113441839,0.0860463871795345,-0.00441322,0.03146220,597
547.68259000,-0.118508950052532,0.100057415664654,-0.00908992,0.03400634,607
551.20493000,-0.145064139752321,0.144705125037939,-0.00414105,0.04655339,595
555.15289500,-0.143756051673914,0.143703359766222,0.00485564,0.04362600,597
558.65745500,-0.0986654741486377,0.11652994694992,0.01247989,0.03471970,600
562.16913000,-0.0980431173825609,0.115667174590544,0.01000755,0.03515280,587
566.12486500,-0.105539992831349,0.10686084101102,0.00200028,0.03633901,586
569.67697500,-0.128510570792177,0.120337316907576,-0.00481869,0.04056406,587
