ind,mz,intensity,sn,rel_int,mf_ind,mf,m0,search_m,p,major_ind,minor_ind,err_ppm
15,241.96212,0.9667,73.67,0.00965978414124649,649,C9H9OCl3,242.9693526,241.96207613312,0.02989543,5,-1,0.181296510149999
47,264.08777,0.5857,44.63,0.00585262808681915,962,C15H17O2Cl,265.0950623,264.08778583312,0.1622359,1,-1,-0.0599540034269346
63,268.082686849799,0.5332,40.63,0.00532801996908309,1017,C14H17O3Cl,269.0899769,268.08270043312,0.1514202,1,-1,-0.0506683976877516
73,273.102044541332,0.5115,38.97,0.00511118194708553,1049,C12H24O2Cl2,274.1094352,273.10215873312,0.102373,4,-1,-0.418128471154289
83,278.067032602969,0.5319,40.53,0.00531502967283439,1156,C15H15O3Cl,279.0743269,278.06705043312,0.1622359,1,-1,-0.0641217678429995
84,278.103412701727,0.9906,75.49,0.00989860574151109,1158,C16H19O2Cl,279.1107124,278.10343593312,0.1730517,1,-1,-0.0835350804778315
90,280.082676702861,1.1812,90.02,0.0118031830222824,1188,C15H17O3Cl,281.0899769,280.08270043312,0.1622359,1,-1,-0.084725901441158
91,280.11906674753,1.0566,80.53,0.0105581130895221,1190,C16H21O2Cl,281.1263624,280.11908593312,0.1730517,1,-1,-0.0684908333110321
98,282.061939864888,0.571,43.51,0.00570573781385305,1216,C14H15O4Cl,283.0692415,282.06196503312,0.1514202,1,-1,-0.0892294413262572
99,282.098319937335,1.5293,116.56,0.0152815846562618,1220,C15H19O3Cl,283.105627,282.09835053312,0.1622359,1,-1,-0.108457865058835
108,284.077581869427,0.6815,51.93,0.00680991299499274,1248,C14H17O4Cl,285.0848915,284.07761503312,0.1514202,1,-1,-0.116741662860923
109,284.113961867054,0.9094,69.3,0.009087211852746,1251,C15H21O3Cl,285.121277,284.11400053312,0.1622359,1,-1,-0.136093490050055
138,290.9333000642,0.5055,7.08,0.00505122673362998,1316,C9H10O2Cl4,291.9405402,290.93326373312,1,2,-1,0.124877710792824
133,290.067032783111,0.5502,7.72,0.00549789307387382,1335,C16H15O3Cl,291.0743269,290.06705043312,0.1730517,1,-1,-0.0608480316179135
134,290.10341278427,0.8737,12.37,0.00873047833268548,1338,C17H19O2Cl,291.1107124,290.10343593312,0.1838674,1,-1,-0.0797951606971882
147,292.0826714191,1.3012,18.51,0.0130022872913933,1373,C16H17O3Cl,293.0899769,292.08270043312,0.1730517,1,-1,-0.0993349500901866
149,292.119061365007,1.4284,20.34,0.014273337816651,1376,C17H21O2Cl,293.1263624,292.11908593312,0.1838674,1,-1,-0.0841030729426283
160,294.061942140918,0.5086,7.12,0.00508220359391535,1407,C15H15O4Cl,295.0692415,294.06196503312,0.1622359,1,-1,-0.077848225219554
161,294.098312228518,2.3296,33.3,0.0232786108776744,1411,C16H19O3Cl,295.105627,294.09835053312,0.1730517,1,-1,-0.130244191355507
165,294.134712316191,0.9611,13.63,0.00960382594202131,1413,C17H23O2Cl,295.1420125,294.13473603312,0.1838674,1,-1,-0.0806328745221809
177,296.077583395515,1.8482,26.38,0.0184682042514242,1438,C15H17O4Cl,297.0848915,296.07761503312,0.1622359,1,-1,-0.10685578052336
179,296.113973346528,2.4605,35.18,0.0245866337845629,1441,C16H21O3Cl,297.121277,296.11400053312,0.1730517,1,-1,-0.0918112357762491
192,297.117332171408,0.7458,10.53,0.0074524330325247,1441,C16H21O3Cl,298.1246319,297.11735543312,0.0140376,2,2,-0.0782913255132125
182,296.150353297553,0.5461,7.66,0.00545692367801252,1443,C17H25O2Cl,297.1576626,296.15038613312,0.1838674,1,-1,-0.110874637039173
197,298.056852400717,0.5794,8.14,0.00578967511269082,1467,C14H15O5Cl,299.0641561,298.05687963312,0.1514202,1,-1,-0.0913664636416133
199,298.093242416321,3.0267,43.32,0.0302444074276515,1472,C15H19O4Cl,299.1005416,298.09326513312,0.1622359,1,-1,-0.0762070170075465
209,299.096600282778,0.5616,7.88,0.00561180797943936,1472,C15H19O4Cl,300.1038964,299.09661993312,0.0122829,2,2,-0.0656989774775955
201,298.129632431926,1.3889,19.77,0.0138786326614019,1475,C16H23O3Cl,299.1369271,298.12965063312,0.1730517,1,-1,-0.0610512706699402
261,303.998696147813,0.5716,8.03,0.00571173333519861,1496,C11H15O3Cl3,305.006132,303.99885553312,0.03653886,5,-1,-0.524295745438613
217,300.072504641372,0.6088,8.56,0.00608345565862301,1504,C14H17O5Cl,301.0798062,300.07252973312,0.1514202,1,-1,-0.0836189449385009
219,300.108894708829,1.1379,16.17,0.0113705062318448,1508,C15H21O4Cl,301.1161917,300.10891523312,0.1622359,1,-1,-0.0683894751062021
235,302.103416839966,0.6,8.44,0.00599552134555487,1546,C18H19O2Cl,303.1107124,302.10343593312,0.1946831,1,-1,-0.0632007175446493
237,302.139796851313,0.5485,7.7,0.00548090576339474,1549,C19H23OCl,303.1470979,302.13982143312,0.2054988,1,-1,-0.0813590448444302
262,304.082676052614,0.9909,14.05,0.00990160350218387,1580,C17H17O3Cl,305.0899769,304.08270043312,0.1838674,1,-1,-0.0801772220826713
263,304.119066011362,1.1622,16.52,0.0116133248463398,1583,C18H21O2Cl,305.1263624,304.11908593312,0.1946831,1,-1,-0.0655064372710727
283,306.9071036737,0.7121,10.05,0.00711568458361604,1593,C12H6OCl4,307.9143254,306.90704893312,1,2,-1,0.17836208115662
274,306.061944665138,0.6594,9.29,0.0065890779587648,1616,C16H15O4Cl,307.0692415,306.06196503312,0.1730517,1,-1,-0.0665485560896095
275,306.098324657012,1.9519,27.87,0.0195044301906476,1620,C17H19O3Cl,307.105627,306.09835053312,0.1838674,1,-1,-0.0845352740246256
279,306.134714648884,1.196,17,0.011951072548806,1623,C18H23O2Cl,307.1420125,306.13473603312,0.1946831,1,-1,-0.0698523679380431
303,308.8994137379,0.8129,11.5,0.00812293216966926,1633,C9H9OCl5,309.9066532,308.89937673312,1,2,-1,0.119795579770595
292,308.07759446427,2.2878,32.7,0.0228609228906007,1661,C16H17O4Cl,309.0848915,308.07761503312,0.1730517,1,-1,-0.0667651568471508
296,308.113974465428,3.825,54.79,0.0382214485779123,1665,C17H21O3Cl,309.121277,308.11400053312,0.1838674,1,-1,-0.0846040476367256
308,309.117332171408,0.634,8.93,0.00633526755513631,1665,C17H21O3Cl,310.1246319,309.11735543312,0.01590928,2,2,-0.0752520399808872
300,308.150354466587,1.0604,15.05,0.0105960847247106,1667,C18H25O2Cl,309.1576626,308.15038613312,0.1946831,1,-1,-0.102763242242469
312,310.056843623498,0.8819,12.49,0.00881241712440807,1696,C15H15O5Cl,311.0641561,310.05687963312,0.1622359,1,-1,-0.116138761769922
313,310.093243589683,4.4758,64.14,0.0447245907307241,1701,C16H19O4Cl,311.1005416,310.09326513312,0.1730517,1,-1,-0.0694740572095165
340,313.112239878855,0.5508,7.73,0.00550388859521937,1703,C13H23O6Cl,314.1196124,313.11233593312,0.003945067,4,-1,-0.306772534666446
317,310.129623555886,2.7768,39.72,0.0277472727872279,1704,C17H23O3Cl,311.1369271,310.12965063312,0.1838674,1,-1,-0.0873094005219052
327,312.072503855792,1.8059,25.77,0.0180455199965626,1733,C15H17O5Cl,313.0798062,312.07252973312,0.1622359,1,-1,-0.08292087756034
329,312.108893901868,3.7214,53.3,0.0371862218922465,1737,C16H21O4Cl,313.1161917,312.10891523312,0.1730517,1,-1,-0.0683455403808261
