ind,mz,intensity,sn,rel_int,mf_ind,mf,m0,search_m,p,major_ind,minor_ind,err_ppm
44,272.092888087175,0.429,10.95,0.00427452195599733,1074,C17H17OCl,273.1001477,272.09287123312,0.1838674,1,-1,0.0619422896642233
50,274.108527291054,0.5017,12.81,0.00499889898676891,1101,C17H19OCl,275.1157977,274.10852123312,0.1838674,1,-1,0.022100494994807
58,276.08776650931,0.6166,15.76,0.00614375346868987,1130,C16H17O2Cl,277.0950623,276.08778583312,0.1730517,1,-1,-0.0699915442429969
67,278.103395713192,1.0777,27.6,0.0107381172773388,1158,C16H19O2Cl,279.1107124,278.10343593312,0.1730517,1,-1,-0.14462218995707
75,280.082657670677,0.6845,17.5,0.00682030368037337,1188,C15H17O3Cl,281.0899769,280.08270043312,0.1622359,1,-1,-0.152677914956459
76,280.119047758326,0.7842,20.07,0.00781370656851541,1190,C16H21O2Cl,281.1263624,280.11908593312,0.1730517,1,-1,-0.136280589481629
81,282.098309840083,0.6929,17.72,0.00690400061377751,1220,C15H19O3Cl,283.105627,282.09835053312,0.1622359,1,-1,-0.144251241357069
95,286.108480756084,0.4249,10.84,0.0042336698813596,1280,C18H19OCl,287.1157977,286.10852123312,0.1946831,1,-1,-0.141474415397872
102,288.087750734221,0.5282,13.49,0.0052629428838177,1306,C17H17O2Cl,289.0950623,288.08778583312,0.1838674,1,-1,-0.121834039004924
103,288.124130726095,0.4724,12.06,0.00470695611191874,1309,C18H21OCl,289.1314478,288.12417133312,0.1946831,1,-1,-0.140935848742057
115,290.067010536841,0.518,13.23,0.00516131089325552,1335,C16H15O3Cl,291.0743269,290.06705043312,0.1730517,1,-1,-0.13754157673265
116,290.103400538,0.9962,25.51,0.0099260577449057,1338,C17H19O2Cl,291.1107124,290.10343593312,0.1838674,1,-1,-0.122008621780432
135,293.0320646221,0.4098,10.45,0.00408321467964501,1368,C16H14OCl2,294.0392203,293.03194383312,0.6399155,2,-1,0.412204138386699
129,292.082659636381,1.1199,28.69,0.0111585947284881,1373,C16H17O3Cl,293.0899769,292.08270043312,0.1730517,1,-1,-0.13967529900506
131,292.11903960094,1.2869,32.97,0.0128225694759277,1376,C17H21O2Cl,293.1263624,292.11908593312,0.1838674,1,-1,-0.158607163540893
141,294.061927793524,0.486,12.41,0.00484246543266831,1407,C15H15O4Cl,295.0692415,294.06196503312,0.1622359,1,-1,-0.126638602242513
142,294.098307761362,1.616,41.42,0.0161016957596543,1411,C16H19O3Cl,295.105627,294.09835053312,0.1730517,1,-1,-0.145433519953919
144,294.134677729208,0.7267,18.59,0.00724078113152276,1413,C17H23O2Cl,295.1420125,294.13473603312,0.1838674,1,-1,-0.198221782452672
154,296.077578517485,0.9572,24.51,0.00953746483981503,1438,C15H17O4Cl,297.0848915,296.07761503312,0.1622359,1,-1,-0.123331291456383
156,296.113958580399,1.4403,36.91,0.0143510349026176,1441,C16H21O3Cl,297.121277,296.11400053312,0.1730517,1,-1,-0.141677600282557
166,298.093221450505,1.2415,31.81,0.0123702074787196,1472,C15H19O4Cl,299.1005416,298.09326513312,0.1622359,1,-1,-0.146540093498627
168,298.129611492951,0.6565,16.79,0.00654131390235956,1475,C16H23O3Cl,299.1369271,298.12965063312,0.1730517,1,-1,-0.131285730637522
180,300.087740385225,0.5485,14.01,0.00546521047287771,1505,C18H17O2Cl,301.0950623,300.08778583312,0.1946831,1,-1,-0.151448667803094
182,300.124130302325,0.6737,17.23,0.00671269333742518,1510,C19H21OCl,301.1314478,300.12417133312,0.2054988,1,-1,-0.136712729298092
192,302.067008317414,0.4283,10.93,0.00426754721154699,1542,C17H15O3Cl,303.0743269,302.06705043312,0.1838674,1,-1,-0.139425023989504
193,302.103398326186,0.808,20.68,0.00805084787982715,1546,C18H19O2Cl,303.1107124,302.10343593312,0.1946831,1,-1,-0.124483635777875
195,302.139778334955,0.5766,14.74,0.00574519664295586,1549,C19H23OCl,303.1470979,302.13982143312,0.2054988,1,-1,-0.142643113863943
207,304.0826579765,0.963,24.66,0.00959525557954646,1580,C17H17O3Cl,305.0899769,304.08270043312,0.1838674,1,-1,-0.139621951356165
209,304.119037954675,1.1361,29.1,0.0113200102429104,1583,C18H21O2Cl,305.1263624,304.11908593312,0.1946831,1,-1,-0.157762033125662
218,305.1224101284,0.4006,10.22,0.00399154660972618,1583,C18H21O2Cl,306.1297173,305.12244083312,0.01789794,2,2,-0.100630815587012
211,304.155407932855,0.4074,10.39,0.00405930127010096,1586,C19H25OCl,305.1627479,304.15547143312,0.2054988,1,-1,-0.208775677321466
221,306.061917127373,0.5021,12.82,0.00500288455502625,1616,C16H15O4Cl,307.0692415,306.06196503312,0.1730517,1,-1,-0.156523033046102
222,306.098307118141,1.7984,46.11,0.0179191148850014,1620,C17H19O3Cl,307.105627,306.09835053312,0.1838674,1,-1,-0.141833430517104
224,306.134687108911,0.9941,25.45,0.00990513351155466,1623,C18H23O2Cl,307.1420125,306.13473603312,0.1946831,1,-1,-0.159812667327099
234,308.077567168597,1.442,36.95,0.0143679735677113,1661,C16H17O4Cl,309.0848915,308.07761503312,0.1730517,1,-1,-0.155365145486361
259,311.096576920157,0.4057,10.35,0.00404236260500727,1664,C13H21O6Cl,312.1039624,311.09668593312,0.003945067,4,-1,-0.350415056783692
236,308.113957180336,2.7167,69.68,0.0270689832117901,1665,C17H21O3Cl,309.121277,308.11400053312,0.1838674,1,-1,-0.140703713193248
247,309.117307676195,0.4183,10.67,0.00416790800511348,1665,C17H21O3Cl,310.1246319,309.11735543312,0.01590928,2,2,-0.154494480361716
239,308.150347192076,0.5287,13.51,0.00526792484413937,1667,C18H25O2Cl,309.1576626,308.15038613312,0.1946831,1,-1,-0.12637026016454
251,310.093227818852,2.5471,65.33,0.0253791022706779,1701,C16H19O4Cl,311.1005416,310.09326513312,0.1730517,1,-1,-0.120332403490052
259,311.096576920157,0.4057,10.35,0.00404236260500727,1701,C16H19O4Cl,312.1038964,311.09661993312,0.0140376,2,2,-0.138262392152712
254,310.129607830588,1.4904,38.2,0.0148502273268495,1704,C17H23O3Cl,311.1369271,310.12965063312,0.1838674,1,-1,-0.138014960865942
265,312.072489382224,0.5121,8.97,0.00510252376145975,1733,C15H17O5Cl,313.0798062,312.07252973312,0.1622359,1,-1,-0.129299736848367
267,312.10886942905,1.78,32.1,0.0177357787451638,1737,C16H21O4Cl,313.1161917,312.10891523312,0.1730517,1,-1,-0.146756685585725
269,312.124139448705,0.4306,7.48,0.00429046422902669,1739,C20H21OCl,313.1314478,312.12417133312,0.2163146,1,-1,-0.102152983627526
278,314.088142231245,0.5537,9.73,0.00551702286022313,1773,C15H19O5Cl,315.0954562,314.08817973312,0.1622359,1,-1,-0.119399193294259
280,314.103382254827,0.5513,9.68,0.00549310945067909,1774,C19H19O2Cl,315.1107124,314.10343593312,0.2054988,1,-1,-0.170893683511974
281,314.124512287523,0.6166,10.87,0.00614375346868987,1776,C16H23O4Cl,315.1318417,314.12456523312,0.1730517,1,-1,-0.168549686406665
283,314.139782311152,0.5249,9.2,0.00523006194569464,1777,C20H23OCl,315.1470979,314.13982143312,0.2163146,1,-1,-0.124536800998371
295,316.082652862963,0.6627,11.71,0.00660309021034833,1809,C18H17O3Cl,317.0899769,316.08270043312,0.1946831,1,-1,-0.150499085248902
296,316.119042824217,0.8816,15.71,0.00878419243917774,1813,C19H21O2Cl,317.1263624,316.11908593312,0.2054988,1,-1,-0.136369186776844
298,316.155432785472,0.4247,7.37,0.00423167709723093,1816,C20H25OCl,317.1627479,316.15547143312,0.2163146,1,-1,-0.122242540290748
310,318.09829071686,0.8739,15.57,0.00870747025022394,1849,C18H19O3Cl,319.105627,318.09835053312,0.1946831,1,-1,-0.188043288561867
