ind,mz,intensity,sn,rel_int,mf_ind,mf,m0,search_m,p,major_ind,minor_ind,err_ppm
17,202.86459775315,1.237,92.82,0.0123693444247455,317,C2H2O2Cl4,203.8720398,202.86476333312,0.102373,6,-1,-0.816208627551155
90,274.072086215689,1.268,13.58,0.0126793279956162,1098,C16H15O2Cl,275.0794122,274.07213573312,0.1730517,1,-1,-0.180672987224321
121,282.061932640325,1.2931,13.85,0.0129303146933213,1216,C14H15O4Cl,283.0692415,282.06196503312,0.1514202,1,-1,-0.114842831043925
180,292.082658144948,1.282,13.73,0.0128193205760095,1373,C16H17O3Cl,293.0899769,292.08270043312,0.1730517,1,-1,-0.144781503234727
194,293.2066558273,1.4851,15.92,0.0148502129387142,1381,C16H33O2Cl,294.2139579,293.20668143312,0.3199578,2,-1,-0.0873302749233495
196,294.06194135986,1.65,17.69,0.016499125546346,1407,C15H15O4Cl,295.0692415,294.06196503312,0.1622359,1,-1,-0.0805043234045618
214,296.077564853288,1.4128,15.14,0.0141272512556834,1438,C15H17O4Cl,297.0848915,296.07761503312,0.1622359,1,-1,-0.169482020188707
231,298.035715183259,1.2471,13.36,0.0124703390720292,1465,C17H11O3Cl,299.0430267,298.03575023312,0.1838674,1,-1,-0.117602875962454
264,302.030626003052,1.2474,13.36,0.0124733389130376,1537,C16H11O4Cl,303.0379413,302.03066483312,0.1730517,1,-1,-0.128563330196689
265,302.067025986495,1.6518,17.71,0.0165171245923966,1542,C17H15O3Cl,303.0743269,302.06705043312,0.1838674,1,-1,-0.0809311194359479
279,304.046295185888,1.183,9.18,0.0118293730432287,1575,C16H13O4Cl,305.0535914,304.04631493312,0.1730517,1,-1,-0.0649481066863475
281,304.082665173113,1.7389,13.54,0.0173880784318431,1580,C17H17O3Cl,305.0899769,304.08270043312,0.1838674,1,-1,-0.115955321650257
296,306.061933523889,2.1761,16.97,0.0217598467281234,1616,C16H15O4Cl,307.0692415,306.06196503312,0.1730517,1,-1,-0.102950496789521
298,306.098303474928,1.9701,15.35,0.0196999559023372,1620,C17H19O3Cl,307.105627,306.09835053312,0.1838674,1,-1,-0.153735530141104
321,308.8993884242,1.495,11.63,0.0149492076919923,1633,C9H9OCl5,309.9066532,308.89937673312,1,2,-1,0.037847534644044
313,308.041192479078,1.6204,12.61,0.0162031412335146,1655,C15H13O5Cl,309.048506,308.04122953312,0.1622359,1,-1,-0.120289229447524
315,308.077582492747,2.6742,20.88,0.0267405827491143,1661,C16H17O4Cl,309.0848915,308.07761503312,0.1730517,1,-1,-0.105623946488703
317,308.113972506415,1.5871,12.35,0.0158701588815793,1665,C17H21O3Cl,309.121277,308.11400053312,0.1838674,1,-1,-0.0909621273911405
331,310.056844294692,1.6123,12.55,0.0161221455262871,1696,C15H15O5Cl,311.0641561,310.05687963312,0.1622359,1,-1,-0.113974017342934
333,310.09322434837,2.4508,19.12,0.0245067011448393,1701,C16H19O4Cl,311.1005416,310.09326513312,0.1730517,1,-1,-0.131524138705101
346,312.051327274093,1.2726,9.88,0.0127253255577454,1731,C18H13O3Cl,313.0586768,312.05140033312,0.1946831,1,-1,-0.234124978292822
347,312.072487306115,1.5274,11.88,0.0152731905209024,1733,C15H17O5Cl,313.0798062,312.07252973312,0.1622359,1,-1,-0.135952387519259
349,312.108867361169,1.1735,9.1,0.0117343780779619,1737,C16H21O4Cl,313.1161917,312.10891523312,0.1730517,1,-1,-0.153382196555085
362,314.067000594392,1.4172,11.02,0.014171248923807,1771,C18H15O3Cl,315.0743269,314.06705043312,0.1946831,1,-1,-0.158688177774307
375,316.046283138875,1.393,10.83,0.0139292617491273,1804,C17H13O4Cl,317.0535914,316.04631493312,0.1838674,1,-1,-0.100599954597015
377,316.082653167232,1.5956,12.42,0.015955154376818,1809,C18H17O3Cl,317.0899769,316.08270043312,0.1946831,1,-1,-0.149536459850018
399,318.061933045065,1.3787,10.71,0.0137862693277256,1845,C17H15O4Cl,319.0692415,318.06196503312,0.1838674,1,-1,-0.100571770872418
434,322.8963584884,1.4847,11.55,0.014846213150703,1863,C10H9OCl5,323.9037031,322.89642663312,0.6399155,4,-1,-0.211042038154643
416,320.9227484242,2.2167,17.29,0.0221658252112638,1864,C13H8OCl4,321.9299755,320.92269903312,1,2,-1,0.153903354531215
409,320.041168495387,1.4776,11.49,0.0147752169135036,1881,C16H13O5Cl,321.048506,320.04122953312,0.1730517,1,-1,-0.190718343273791
411,320.077568354902,2.312,18.03,0.0231187747049406,1886,C17H17O4Cl,321.0848915,320.07761503312,0.1838674,1,-1,-0.145834059057358
413,320.113948214495,1.8063,14.07,0.0180620427117363,1890,C18H21O3Cl,321.121277,320.11400053312,0.1946831,1,-1,-0.163437479212102
428,322.056844499848,2.3833,18.59,0.0238317369179433,1920,C16H15O5Cl,323.0641561,322.05687963312,0.1730517,1,-1,-0.109090270781329
430,322.093224501303,3.1372,24.51,0.0313703373721193,1926,C17H19O4Cl,323.1005416,322.09326513312,0.1838674,1,-1,-0.126149227396039
446,324.072483952622,3.0319,23.68,0.0303173931781616,1966,C16H17O5Cl,325.0798062,324.07252973312,0.1730517,1,-1,-0.141266209520328
448,324.10888393071,1.8254,14.22,0.0182530325892728,1971,C17H21O4Cl,325.1161917,324.10891523312,0.1838674,1,-1,-0.0965799096569999
464,326.05176329534,1.2588,9.77,0.0125873328713578,2007,C15H15O6Cl,327.0590707,326.05179423312,0.1622359,1,-1,-0.0948860890122107
466,326.067013294645,1.2228,9.49,0.0122273519503466,2010,C19H15O3Cl,327.0743269,326.06705043312,0.2054988,1,-1,-0.113898277232514
468,326.088143293681,2.2316,17.4,0.0223148173146823,2012,C16H19O5Cl,327.0954562,326.08817973312,0.1730517,1,-1,-0.111747194578705
542,332.9432584242,1.2104,9.39,0.0121033585219983,2032,C12H12O2Cl4,333.9502901,332.94301363312,0.102373,6,-1,0.735234168906956
483,328.046284090181,1.5821,12.31,0.0158201615314388,2048,C18H13O4Cl,329.0535914,328.04631493312,0.1946831,1,-1,-0.0940200747586442
475,327.064092673712,1.1968,9.29,0.0119673657296163,2051,C15H17O6Cl,328.0713659,327.06408943312,1,0,-1,0.00990812512746579
485,328.067414108764,1.6217,12.62,0.0162161405445511,2051,C15H17O6Cl,329.0747208,328.06744433312,0.1622359,1,-1,-0.0921284826078225
487,328.082664122176,1.7753,13.83,0.0177520591408655,2053,C19H17O3Cl,329.0899769,328.08270043312,0.2054988,1,-1,-0.110676191942988
507,330.061935102007,1.9586,15.26,0.0195849619970142,2089,C18H15O4Cl,331.0692415,330.06196503312,0.1946831,1,-1,-0.0906833153519196
498,329.079748920321,1.5765,12.27,0.0157641644992815,2092,C15H19O6Cl,330.087016,329.07973953312,1,0,-1,0.0285256106444689
510,330.098325105306,1.6403,12.77,0.0164021306870736,2094,C19H19O3Cl,331.105627,330.09835053312,0.2054988,1,-1,-0.0770310253901516
532,332.041195107192,1.6135,12.56,0.0161341448903208,2130,C17H13O5Cl,333.048506,332.04122953312,0.1838674,1,-1,-0.103679678869977
519,331.059015844512,1.4389,11.19,0.0143882374234166,2134,C14H17O7Cl,332.0662806,331.05900413312,1,0,-1,0.0353755418769376
534,332.077585103688,2.6542,20.72,0.0265405933485525,2137,C18H17O4Cl,333.0848915,332.07761503312,0.1946831,1,-1,-0.0901278223291417
524,331.095407757387,1.7037,13.26,0.0170360970868544,2140,C15H21O6Cl,332.1026661,331.09538963312,1,0,-1,0.0547403185974746
536,332.113975100184,1.3982,10.87,0.0139812589932734,2141,C19H21O3Cl,333.121277,332.11400053312,0.2054988,1,-1,-0.0765789350256986
571,334.9383829821,4.5837,35.85,0.0458345707677493,2158,C14H10OCl4,335.9456256,334.93834913312,1,2,-1,0.101060329455112
562,334.056844110181,3.0716,23.99,0.0307143721382767,2177,C17H15O5Cl,335.0641561,334.05687963312,0.1838674,1,-1,-0.106337996506581
553,333.074660619062,1.3047,10.13,0.0130463085456471,2181,C14H19O7Cl,334.0819306,333.07465413312,1,0,-1,0.0194729381862999
564,334.093224076541,2.9029,22.67,0.0290274615445381,2183,C18H19O4Cl,335.1005416,334.09326513312,0.1946831,1,-1,-0.122889574065291
566,334.129604042901,1.3343,10.37,0.0133422928584785,2187,C19H23O3Cl,335.1369271,334.12965063312,0.2054988,1,-1,-0.13943754664105
585,336.036103051622,1.7451,13.59,0.0174500751460173,2221,C16H13O6Cl,337.0434207,336.03614423312,0.1730517,1,-1,-0.122550797671733
587,336.051373049959,1.2109,9.4,0.0121083582570124,2224,C20H13O3Cl,337.0586768,336.05140033312,0.2163146,1,-1,-0.0811874652507288
588,336.072493047657,4.1099,32.14,0.041096821868441,2227,C17H17O5Cl,337.0798062,336.07252973312,0.1838674,1,-1,-0.10915936165925
590,336.087733045997,1.3851,10.77,0.0138502659359054,2230,C21H17O2Cl,337.0950623,336.08778583312,0.2271303,1,-1,-0.157063498599316
591,336.108883043692,2.1337,16.64,0.0213358691989325,2233,C18H21O4Cl,337.1161917,336.10891523312,0.1946831,1,-1,-0.0957708251980412
608,338.051753342736,2.8831,22.51,0.028829472037982,2268,C16H15O6Cl,339.0590707,338.05179423312,0.1730517,1,-1,-0.120958932235506
610,338.067023349284,1.3801,10.73,0.013800268585765,2271,C20H15O3Cl,339.0743269,338.06705043312,0.2163146,1,-1,-0.0801138005293547
611,338.08814335834,3.5851,28.02,0.0358490999977001,2274,C17H19O5Cl,339.0954562,338.08817973312,0.1838674,1,-1,-0.107589623246255
613,338.12452337394,1.7443,13.58,0.0174420755699948,2279,C18H23O4Cl,339.1318417,338.12456523312,0.1946831,1,-1,-0.123798103690733
632,340.04626371363,1.585,12.33,0.0158491599945203,2312,C19H13O4Cl,341.0535914,340.04631493312,0.2054988,1,-1,-0.150625039588432
621,339.064082678739,1.2391,9.62,0.0123903433118045,2314,C16H17O6Cl,340.0713659,339.06408943312,1,0,-1,-0.0199206616124027
