ind,mz,intensity,sn,rel_int,mf_ind,mf,m0,search_m,p,major_ind,minor_ind,err_ppm
59,267.03731,0.5234,14.3,0.00523326211004248,986,C11H16O3Cl2,268.0446996,267.03742313312,0.6399155,2,-1,-0.423660169734099
107,289.00402,0.4701,12.84,0.0047003372524474,1326,C12H12O4Cl2,290.0112642,289.00398773312,1,0,-1,0.111648563229964
108,289.02714,0.4685,12.8,0.00468433950812935,1330,C15H11O4Cl,290.0345865,289.02731003312,1,0,-1,-0.588294303381171
127,292.11905,0.6865,18.77,0.00686403217146382,1376,C17H21O2Cl,293.1263624,292.11908593312,0.1838674,1,-1,-0.12300846373683
137,294.09835,0.565,15.44,0.00564920346231181,1411,C16H19O3Cl,295.105627,294.09835053312,0.1730517,1,-1,-0.00181272707971379
153,296.114,0.5905,16.14,0.00590416751238075,1441,C16H21O3Cl,297.121277,296.11400053312,0.1730517,1,-1,-0.00180038783424871
167,298.093269531936,0.4606,12.58,0.00460535064555898,1472,C15H19O4Cl,299.1005416,298.09326513312,0.1622359,1,-1,0.0147565083204553
181,300.124176638296,0.5774,15.79,0.00577318598077671,1510,C19H21OCl,301.1314478,300.12417133312,0.2054988,1,-1,0.0176766031603746
198,302.8968698074,0.5827,15.93,0.00582617850883026,1517,C9H6O3Cl4,303.9041547,302.89687823312,1,2,-1,-0.0278171239684707
197,302.8940498074,0.5003,13.67,0.00500229467645062,1554,C12H4OCl4,303.9016255,302.89434903312,0.7813531,0,-1,-0.987888090295433
206,304.082684776664,0.5062,13.83,0.00506128635862343,1580,C17H17O3Cl,305.0899769,304.08270043312,0.1838674,1,-1,-0.0514874948386064
207,304.11908495841,0.772,21.12,0.00771891163345968,1583,C18H21O2Cl,305.1263624,304.11908593312,0.1946831,1,-1,-0.00320502801362544
223,306.9071199358,0.6521,17.83,0.00652008066862572,1593,C12H6OCl4,307.9143254,306.90704893312,1,2,-1,0.231349134181201
217,306.098339903299,0.7071,19.34,0.00707000312955873,1620,C17H19O3Cl,307.105627,306.09835053312,0.1838674,1,-1,-0.0347268151912731
219,306.134729904458,0.8207,22.45,0.00820584297614036,1623,C18H23O2Cl,307.1420125,306.13473603312,0.1946831,1,-1,-0.0200194917531507
240,308.89945,1.0346,28.32,0.0103445414196598,1633,C9H9OCl5,309.9066532,308.89937673312,1,2,-1,0.237186881965143
230,308.077624723466,0.4812,13.15,0.00481132160365389,1661,C16H17O4Cl,309.0848915,308.07761503312,0.1730517,1,-1,0.0314542373219961
232,308.114004905113,1.3655,37.38,0.0136530749164368,1665,C17H21O3Cl,309.121277,308.11400053312,0.1838674,1,-1,0.0141895296915067
236,308.150385086759,0.7968,21.8,0.00796687667038947,1667,C18H25O2Cl,309.1576626,308.15038613312,0.1946831,1,-1,-0.00339561719868054
250,310.09326736356,1.1669,31.94,0.0116673549029587,1701,C16H19O4Cl,311.1005416,310.09326513312,0.1730517,1,-1,0.0071928042181441
251,310.129647263531,0.829,22.68,0.00828883127479025,1704,C17H23O3Cl,311.1369271,310.12965063312,0.1838674,1,-1,-0.010865097009296
263,312.108914972586,0.7091,19.4,0.0070900003099563,1737,C16H21O4Cl,313.1161917,312.10891523312,0.1730517,1,-1,-0.000834754817911765
272,313.175385416948,0.877,24,0.00876876360433179,1741,C18H29O2Cl,314.1826578,313.17538133312,0.3199578,2,-1,0.01304006751482
274,314.12456581244,0.5068,7.83,0.0050672855127427,1776,C16H23O4Cl,315.1318417,314.12456523312,0.1730517,1,-1,0.00184423577230713
275,314.139815818794,0.5161,7.98,0.00516027240159138,1777,C20H23OCl,315.1470979,314.13982143312,0.2163146,1,-1,-0.0178720609264618
302,317.23412710809,0.49,7.56,0.00489930919740317,1780,C19H35OCl,318.241403,317.23412653312,0.0064003,4,-1,0.00181244629579596
283,316.119096643494,0.6558,10.21,0.00655707545236122,1813,C19H21O2Cl,317.1263624,316.11908593312,0.2054988,1,-1,0.0338808202952601
316,318.134737483344,0.7421,11.59,0.0074199537865161,1852,C19H23O2Cl,319.1420125,318.13473603312,0.2054988,1,-1,0.00455852114013744
297,317.225577104527,0.4679,7.2,0.00467834035401008,1856,C18H35O2Cl,318.232558,317.22528153312,1,0,-1,0.931739758683914
360,322.8963990516,0.6089,9.46,0.00608814157203834,1863,C10H9OCl5,323.9037031,322.89642663312,0.6399155,4,-1,-0.0854190932821648
335,320.922778645027,0.6127,9.52,0.00612613621479371,1864,C13H8OCl4,321.9299755,320.92269903312,1,2,-1,0.248071911109182
325,320.077608292873,0.5002,7.72,0.00500129481743074,1886,C17H17O4Cl,321.0848915,320.07761503312,0.1838674,1,-1,-0.0210581640661152
327,320.113988308031,1.2206,19.26,0.0122042791966333,1890,C18H21O3Cl,321.121277,320.11400053312,0.1946831,1,-1,-0.0381897966855296
330,320.15036832319,0.9063,14.23,0.0090617222971561,1892,C19H25O2Cl,321.1576626,320.15038613312,0.2054988,1,-1,-0.0556298883240467
345,322.093269132731,1.7785,28.19,0.0177824926685337,1926,C17H19O4Cl,323.1005416,322.09326513312,0.1838674,1,-1,0.0124175567801351
349,322.12964914789,1.9888,31.56,0.0198851961873376,1930,C18H23O3Cl,323.1369271,322.12965063312,0.1946831,1,-1,-0.00461065988208264
365,323.132999826948,0.5975,9.28,0.00597415764377223,1930,C18H23O3Cl,324.140282,323.13300553312,0.01789794,2,2,-0.0176588958472045
352,322.166039163052,0.5375,8.32,0.00537424223184531,1932,C19H27O2Cl,323.1733126,322.16603613312,0.2054988,1,-1,0.00940487797918264
372,324.072549824483,0.6415,9.98,0.00641409561251863,1966,C16H17O5Cl,325.0798062,324.07252973312,0.1730517,1,-1,0.0619965021816582
373,324.108919834595,2.185,34.7,0.0218469195843386,1971,C17H21O4Cl,325.1161917,324.10891523312,0.1838674,1,-1,0.014197310041511
377,324.145299844709,0.9857,15.5,0.00985561035893939,1975,C18H25O3Cl,325.1525772,324.14530073312,0.1946831,1,-1,-0.002740780027097
392,326.0881798254,1.4259,22.55,0.0142569897644432,2012,C16H19O5Cl,327.0954562,326.08817973312,0.1730517,1,-1,0.000282990428011943
395,326.124569813447,1.4828,23.46,0.0148259095467539,2016,C17H23O4Cl,327.1318417,326.12456523312,0.1838674,1,-1,0.0140447161817725
412,327.19102918,0.7269,11.35,0.00726797521549462,2020,C19H31O2Cl,328.1983078,327.19103133312,0.3199578,2,-1,-0.00658062036790669
414,328.103819683263,1.2134,19.14,0.012132289347202,2055,C16H21O5Cl,329.1111063,328.10382983312,0.1730517,1,-1,-0.0309348932841735
417,328.155449692994,0.5391,8.34,0.00539023997616336,2060,C21H25OCl,329.1627479,328.15547143312,0.2271303,1,-1,-0.066249470471619
434,330.098350861551,0.5996,9.31,0.00599515468318967,2094,C19H19O3Cl,331.105627,330.09835053312,0.2054988,1,-1,0.00099494802313133
436,330.134730897737,0.6693,10.43,0.00669205642004477,2097,C20H23O2Cl,331.1420125,330.13473603312,0.2163146,1,-1,-0.0155554143000564
462,333.0037089874,0.5427,8.4,0.00542623490087898,2124,C15H15O2Cl3,334.0108127,333.00353623312,0.9598733,2,-1,0.518776112789695
466,333.0118589874,0.59,9.16,0.00589916821728136,2125,C14H14O5Cl2,334.0188788,333.01160233312,0.6399155,2,-1,0.770706720927734
469,333.0186589874,0.4942,7.63,0.00494130327623805,2125,C14H14O5Cl2,334.0260753,333.01879883312,0.01027497,2,1,-0.419933410507388
470,333.0188889874,0.5083,7.85,0.00508228339804088,2125,C14H14O5Cl2,334.0260753,333.01879883312,0.01027497,2,1,0.270718290818927
471,333.0211789874,0.5985,9.3,0.00598415623397101,2125,C14H14O5Cl2,334.0285386,333.02126213312,0.01064518,2,2,-0.249670905120231
472,333.0247089874,0.5439,8.42,0.00543823320911751,2128,C12H19O4Cl3,334.031942,333.02466553312,0.9598733,2,-1,0.130483668459508
476,333.0349289874,0.4724,7.28,0.0047233340099046,2130,C17H13O5Cl,334.0422011,333.03492463312,0.3199578,2,-1,0.0130745448700202
480,333.0419989874,0.7253,11.33,0.00725197747117656,2130,C17H13O5Cl,334.0493976,333.04212113312,0.01027497,2,1,-0.366757572707917
