ind,mz,intensity,sn,rel_int,mf_ind,mf,m0,search_m,p,major_ind,minor_ind,err_ppm
34,246.97474,0.4116,10.82,0.00411297696193298,731,C10H8O3Cl2,247.9820994,246.97482293312,0.6399155,2,-1,-0.335795847638863
33,246.97213,0.4,10.51,0.00399706215931291,754,C13H6OCl2,247.9795702,246.97229373312,1,0,-1,-0.662961490714973
78,266.99533,0.4142,10.89,0.00413895786596851,953,C8H15O3Cl3,268.0027772,266.99550073312,0.3071189,4,-1,-0.63946066331504
97,276.12416,0.4081,10.72,0.00407800266803899,1132,C17H21OCl,277.1314478,276.12417133312,0.1838674,1,-1,-0.0410435635411867
114,280.082667363533,0.4594,12.08,0.00459062588997087,1188,C15H17O3Cl,281.0899769,280.08270043312,0.1622359,1,-1,-0.118070795856711
115,280.119067263449,0.4568,12.01,0.00456464498593534,1190,C16H21O2Cl,281.1263624,280.11908593312,0.1730517,1,-1,-0.066649050813289
152,290.103395143698,0.4643,9.54,0.00463958990142245,1338,C17H19O2Cl,291.1107124,290.10343593312,0.1838674,1,-1,-0.140603030719878
170,292.8914555705,0.4564,9.37,0.00456064792377602,1348,C11H4OCl4,293.8986754,292.89139893312,1,2,-1,0.193373312445153
166,292.119056312422,0.5441,11.2,0.00543700380220538,1376,C17H21O2Cl,293.1263624,292.11908593312,0.1838674,1,-1,-0.101399391845197
177,294.098324545637,0.7456,15.39,0.00745052386495926,1411,C16H19O3Cl,295.105627,294.09835053312,0.1730517,1,-1,-0.088363240950923
189,296.113958030739,0.6351,13.09,0.00634633544344907,1441,C16H21O3Cl,297.121277,296.11400053312,0.1730517,1,-1,-0.143533845221221
202,298.093224374502,0.5128,10.55,0.00512423368823915,1472,C15H19O4Cl,299.1005416,298.09326513312,0.1622359,1,-1,-0.136731092614195
216,299.159710042665,0.4055,8.32,0.00405202176400346,1477,C17H27O2Cl,300.1670077,299.15973123312,0.3199578,2,-1,-0.0708332452711306
206,298.9732537379,0.8208,16.95,0.00820197155091008,1492,C9H10O7Cl2,299.980358,298.97308153312,1,0,-1,0.575987573970894
220,300.12413422543,0.4436,9.11,0.00443274193467801,1510,C19H21OCl,301.1314478,300.12417133312,0.2054988,1,-1,-0.123641125495562
234,302.9332744937,0.4051,8.31,0.00404802470184415,1521,C10H10O2Cl4,303.9405402,302.93326373312,1,2,-1,0.0355212891012833
