ind,mz,intensity,sn,rel_int,mf_ind,mf,m0,search_m,p,major_ind,minor_ind,err_ppm
8,233.01319,0.5062,84.64,0.00500958967284272,577,C11H12OCl2,234.0206202,233.01334373312,0.102373,4,-1,-0.659761014215077
29,246.97154,0.4297,71.85,0.00425251023789118,710,C9H5O6Cl,247.9787618,246.97148533312,0.003945067,4,-1,0.22134895423401
27,246.96994,0.4649,77.73,0.00460086574260091,753,C7H11O3Cl3,247.9773773,246.97010083312,1,0,-1,-0.651225065096028
84,274.93834,0.6465,108.1,0.00639806346008064,1082,C9H10OCl4,275.9456256,274.93834913312,1,2,-1,-0.0332187927727496
94,278.103362347522,0.4206,70.32,0.00416245242275316,1158,C16H19O2Cl,279.1107124,278.10343593312,0.1730517,1,-1,-0.264597945824453
139,290.9332601284,0.5985,15.09,0.00592303322638555,1316,C9H10O2Cl4,291.9405402,290.93326373312,1,2,-1,-0.0123901954719074
137,290.103370095899,0.4095,10.29,0.00405260168121117,1338,C17H19O2Cl,291.1107124,290.10343593312,0.1838674,1,-1,-0.226943954135877
152,292.119028788608,0.6095,15.37,0.00603189432160734,1376,C17H21O2Cl,293.1263624,292.11908593312,0.1838674,1,-1,-0.195620603795286
161,294.098283678414,0.7679,19.39,0.00759949409280111,1411,C16H19O3Cl,295.105627,294.09835053312,0.1730517,1,-1,-0.227320913759995
163,294.134653538413,0.4752,11.96,0.00470279931358131,1413,C17H23O2Cl,295.1420125,294.13473603312,0.1838674,1,-1,-0.280465708960735
175,296.077537397751,0.5174,13.03,0.00512043006070491,1438,C15H17O4Cl,297.0848915,296.07761503312,0.1622359,1,-1,-0.262212895627672
176,296.113927308461,0.7606,19.2,0.00752724991142666,1441,C16H21O3Cl,297.121277,296.11400053312,0.1730517,1,-1,-0.247285366545348
187,298.093182451939,0.6857,17.3,0.00678600481759829,1472,C15H19O4Cl,299.1005416,298.09326513312,0.1622359,1,-1,-0.277366819473772
188,298.129572362649,0.4024,10.12,0.0039823367924771,1475,C16H23O3Cl,299.1369271,298.12965063312,0.1730517,1,-1,-0.262538365717665
210,302.103346198099,0.4829,12.16,0.00477900208023656,1546,C18H19O2Cl,303.1107124,302.10343593312,0.1946831,1,-1,-0.297034094500133
219,304.08263024473,0.5408,13.63,0.00535200729963126,1580,C17H17O3Cl,305.0899769,304.08270043312,0.1838674,1,-1,-0.230820070083695
220,304.119020165378,0.7279,18.37,0.00720363556472188,1583,C18H21O2Cl,305.1263624,304.11908593312,0.1946831,1,-1,-0.216256540901744
230,306.098279697179,0.667,16.83,0.00660094095572124,1620,C17H19O3Cl,307.105627,306.09835053312,0.1838674,1,-1,-0.231415624728113
233,306.1346597585,0.6256,15.78,0.00619122737915924,1623,C18H23O2Cl,307.1420125,306.13473603312,0.1946831,1,-1,-0.249153757183255
254,308.8993693084,1.1375,28.77,0.0112572268922532,1633,C9H9OCl5,309.9066532,308.89937673312,1,2,-1,-0.0240360472821166
244,308.077551447707,0.5914,14.91,0.00585276833765149,1661,C16H17O4Cl,309.0848915,308.07761503312,0.1730517,1,-1,-0.206394135760506
247,308.113931448866,1.1272,28.51,0.0111552933212728,1665,C17H21O3Cl,309.121277,308.11400053312,0.1838674,1,-1,-0.224216537619998
251,308.150311450024,0.4293,10.8,0.00424855165261039,1667,C18H25O2Cl,309.1576626,308.15038613312,0.1946831,1,-1,-0.242359247144287
261,310.093204190884,1.0564,26.71,0.0104546237265726,1701,C16H19O4Cl,311.1005416,310.09326513312,0.1730517,1,-1,-0.196528729770181
263,310.129584293686,0.802,20.25,0.00793696348798866,1704,C17H23O3Cl,311.1369271,310.12965063312,0.1838674,1,-1,-0.213908709961957
271,312.10885825619,0.8597,21.72,0.00850798941474296,1737,C16H21O4Cl,313.1161917,312.10891523312,0.1730517,1,-1,-0.182554636643194
279,314.124494316622,0.4799,12.08,0.00474931269063062,1776,C16H23O4Cl,315.1318417,314.12456523312,0.1730517,1,-1,-0.225759159253596
286,316.11901088849,0.5435,13.7,0.00537872775027661,1813,C19H21O2Cl,317.1263624,316.11908593312,0.2054988,1,-1,-0.237393544902375
299,318.0982908475,0.6349,16.01,0.00628326448693766,1849,C18H19O3Cl,319.105627,318.09835053312,0.1946831,1,-1,-0.187632596751683
301,318.134670788225,0.6599,16.65,0.00653067606698718,1852,C19H23O2Cl,319.1420125,318.13473603312,0.2054988,1,-1,-0.205085730918512
334,322.8963038663,0.4838,12.18,0.00478790889711835,1863,C10H9OCl5,323.9037031,322.89642663312,0.6399155,4,-1,-0.380204950879493
317,320.9227093084,0.6328,15.96,0.0062624819142135,1864,C13H8OCl4,321.9299755,320.92269903312,1,2,-1,0.0320179283271966
313,320.113921990051,1.3415,33.94,0.0132761053854573,1890,C18H21O3Cl,321.121277,320.11400053312,0.1946831,1,-1,-0.245359680945818
315,320.150311734164,0.7048,17.79,0.00697502726475612,1892,C19H25O2Cl,321.1576626,320.15038613312,0.2054988,1,-1,-0.232387525883898
325,322.093189411358,1.79,45.32,0.0177146691315458,1926,C17H19O4Cl,323.1005416,322.09326513312,0.1838674,1,-1,-0.235092657890663
356,325.112191543492,0.4204,10.57,0.00416047313011276,1929,C14H23O6Cl,326.1196124,325.11233593312,0.003945067,4,-1,-0.444122268266905
328,322.129569206352,1.7156,43.44,0.0169783722693184,1930,C18H23O3Cl,323.1369271,322.12965063312,0.1946831,1,-1,-0.252776384117355
331,322.165979001176,0.4275,10.75,0.00423073801884682,1932,C19H27O2Cl,323.1733126,322.16603613312,0.2054988,1,-1,-0.177336954942089
342,324.072448835593,0.7459,18.83,0.00738177190235754,1966,C16H17O5Cl,325.0798062,324.07252973312,0.1730517,1,-1,-0.249627844052008
344,324.108849017339,2.0341,51.52,0.0201303957991493,1971,C17H21O4Cl,325.1161917,324.10891523312,0.1838674,1,-1,-0.204301015869824
