ind,mz,intensity,sn,rel_int,mf_ind,mf,m0,search_m,p,major_ind,minor_ind,err_ppm
5,241.96198,0.5571,20.35,0.005535907879949,649,C9H9OCl3,242.9693526,241.96207613312,0.02989543,5,-1,-0.397306559492083
45,267.1181098716,0.4132,15.08,0.00410597224195823,994,C12H23O4Cl,268.1255368,267.11826033312,0.3199578,2,-1,-0.563276804032709
60,276.087749571675,0.4269,15.58,0.00424210926934164,1130,C16H17O2Cl,277.0950623,276.08778583312,0.1730517,1,-1,-0.131340273298139
72,278.067021923706,0.4146,15.13,0.00411988405497551,1156,C15H15O3Cl,279.0743269,278.06705043312,0.1622359,1,-1,-0.102527119503702
73,278.103391946208,0.7583,27.72,0.00753523415071859,1158,C16H19O2Cl,279.1107124,278.10343593312,0.1730517,1,-1,-0.158167451416516
82,280.082673170785,0.5873,21.45,0.0058360055607504,1188,C15H17O3Cl,281.0899769,280.08270043312,0.1622359,1,-1,-0.0973367346535404
84,280.119043193287,0.5166,18.87,0.00513345900337759,1190,C16H21O2Cl,281.1263624,280.11908593312,0.1730517,1,-1,-0.152577369998937
93,282.098322285883,0.5007,18.28,0.00497546055553844,1220,C15H19O3Cl,283.105627,282.09835053312,0.1622359,1,-1,-0.100132584867999
111,288.93533918,0.5478,20.01,0.00544349369347705,1260,C10H10OCl4,289.9426755,288.93539903312,0.4799366,4,-1,-0.207150526700594
110,288.124109950922,0.4567,16.67,0.00453823214642382,1309,C18H21OCl,289.1314478,288.12417133312,0.1946831,1,-1,-0.213040779110532
122,290.103398729001,0.5829,21.29,0.00579228271983894,1338,C17H19O2Cl,291.1107124,290.10343593312,0.1838674,1,-1,-0.128244324466815
123,290.139768755907,0.4978,18.17,0.00494664322857407,1341,C18H23OCl,291.1470979,290.13982143312,0.1946831,1,-1,-0.181558024299616
134,292.082661663544,0.6962,11.66,0.00691814587330909,1373,C16H17O3Cl,293.0899769,292.08270043312,0.1730517,1,-1,-0.132734928080707
135,292.119041747321,0.8643,14.53,0.00858855713631291,1376,C17H21O2Cl,293.1263624,292.11908593312,0.1838674,1,-1,-0.151259542948124
146,294.098319071288,1.3694,23.16,0.0136077405327628,1411,C16H19O3Cl,295.105627,294.09835053312,0.1730517,1,-1,-0.106977246254118
148,294.134708885664,0.6685,11.19,0.00664289071575284,1413,C17H23O2Cl,295.1420125,294.13473603312,0.1838674,1,-1,-0.0922959864986913
150,294.155718778493,0.4207,6.96,0.00418049981169367,1414,C14H27O4Cl,295.1631419,294.15586543312,0.1514202,1,-1,-0.498560946889412
