mf_ind,mf,ec,C,H,O,NSP,other,search_m0,search_m,pa_mm_abs,pa_mm_max,pa_mm_rel,major_count,minor_count,major_multi_count,minor_multi_count,p_d1,p_d2,p_dinf,pa_sum_abs,pa_sum_max,pa_sum_rel,tma_m_err_ppm
2679,C18H25O5Cl,HCOCl,18,25,5,0,1,356.1390516,355.13177513312,2,5.7,0.350877192982456,2,0,0,0,1.93339360551909,1.14130280595086,0.805316925048828,1.19468310475349,1.58743781084195,0.752585768459085,-0.100293030202223
2723,C17H23O6Cl,HCOCl,17,23,6,0,1,358.1183161,357.11103963312,2,5.6,0.357142857142857,2,0,0,0,1.69342745933682,1.00766689733421,0.816132605075836,1.18386739492416,1.572676142212,0.752772527762155,-0.114004332184226
2775,C17H25O6Cl,HCOCl,17,25,6,0,1,360.1339662,359.12668973312,2.1,5.6,0.375,2,1,0,0,0.5170708457008,0.331372298510871,0.269283354282379,1.31995779275894,1.59598452504724,0.827049242673496,-0.0890305958216576
2816,C16H23O7Cl,HCOCl,16,23,7,0,1,362.1132308,361.10595433312,2,5.6,0.357142857142857,2,0,0,0,1.7752763107419,1.08618323963231,0.995397448539734,1.00460257800296,1.55747272958979,0.645020974632123,-0.0852669476127264
3016,C18H23O6Cl,HCOCl,18,23,6,0,1,370.1183161,369.11103963312,2.1,5.7,0.368421052631579,2,1,0,0,2.026823468972,1.20399189342311,0.83353179693222,1.19468310475349,1.58758870977908,0.752514235831103,-0.0811560072634987
3060,C17H21O7Cl,HCOCl,17,21,7,0,1,372.0975807,371.09030423312,2,5.6,0.357142857142857,2,0,0,0,1.72080655489117,1.02135244226599,0.816132605075836,1.18386739492416,1.57282704114914,0.752700305851307,-0.0939407997919568
3065,C18H25O6Cl,HCOCl,18,25,6,0,1,372.1339662,371.12668973312,2,5.7,0.350877192982456,2,0,0,0,1.43728805379942,0.90241645443958,0.805316925048828,1.19468310475349,1.58781873690896,0.752405219174583,-0.109795405993272
3112,C17H23O7Cl,HCOCl,17,23,7,0,1,374.1132308,373.10595433312,2.1,5.6,0.375,2,1,0,0,0.661010251380503,0.42738997612958,0.319957792758942,1.18386739492416,1.57305706711486,0.752590239523536,-0.0761872642221786
3117,C18H27O6Cl,HCOCl,18,27,6,0,1,374.1496163,373.14233983312,3.1,5.7,0.543859649122807,3,1,0,0,0.719258226919919,0.488669246847029,0.432454973459244,1.51464089751244,1.61827666242607,0.935959179712654,-0.0557009945919646
3165,C16H21O8Cl,HCOCl,16,21,8,0,1,376.0924953,375.08521883312,2,5.6,0.357142857142857,2,0,0,0,1.71180415898561,1.07394035969892,0.994739890098572,1.00526008894667,1.5581302405335,0.6451707712203,-0.102295514510404
3170,C17H25O7Cl,HCOCl,17,25,7,0,1,376.1288808,375.12160433312,2.1,5.6,0.375,2,1,0,0,0.784748629666865,0.447362809829958,0.365113317966461,1.31995779275894,1.59803952462971,0.825985698360492,-0.102268797610382
3172,C21H25O4Cl,HCOCl,21,25,4,0,1,376.144137,375.13686053312,3.2,5.7,0.56140350877193,3,2,0,0,1.67839045543224,1.02295854910387,0.77286970615387,1.57165388576686,1.66480500984471,0.944046826188649,-0.0859781040140981
3218,C16H23O8Cl,HCOCl,16,23,8,0,1,378.1081454,377.10086893312,3,5.6,0.535714285714286,3,0,0,0,2.13872576504946,1.24966629151994,0.994739890098572,1.32521788170561,1.58860779041424,0.83420079499928,-0.128365785064575
3316,C19H23O6Cl,HCOCl,19,23,6,0,1,382.1183161,381.11103963312,2.2,5.7,0.385964912280702,2,2,0,0,2.13871670328081,1.2823712470428,0.952106475830078,1.20814410364255,1.60253869974986,0.753893870913154,-0.00569129520192254
3361,C18H21O7Cl,HCOCl,18,21,7,0,1,384.0975807,383.09030423312,2.1,5.7,0.368421052631579,2,1,0,0,2.04270256357267,1.21503912924079,0.849410891532898,1.19468310475349,1.58773960871622,0.752442716800059,-0.052204174382662
3365,C19H25O6Cl,HCOCl,19,25,6,0,1,384.1339662,383.12668973312,2.3,5.7,0.403508771929825,2,3,0,0,1.99323487840593,1.17839407731588,0.8066246509552,1.20837413077243,1.60276872687973,0.753929191721184,-0.0802562267693493
3419,C18H23O7Cl,HCOCl,18,23,7,0,1,386.1132308,385.10595433312,2.2,5.7,0.385964912280702,2,2,0,0,1.59996057348326,0.959270982743017,0.805316925048828,1.19732840871438,1.58796963468194,0.753999561807869,-0.0779875714776231
3424,C19H27O6Cl,HCOCl,19,27,6,0,1,386.1496163,385.14233983312,3.1,5.7,0.543859649122807,3,1,1,0,0.884988969191909,0.75569142189412,0.750186800956726,1.52545659244061,1.63533229264431,0.93281139209571,-0.0799291569656869
3466,C17H21O8Cl,HCOCl,17,21,8,0,1,388.0924953,387.08521883312,3,5.6,0.535714285714286,3,0,0,0,1.33790804445744,0.754799810205468,0.523904323577881,1.18912748387083,1.57846805616282,0.75334276118425,-0.073288161690476
3472,C18H25O7Cl,HCOCl,18,25,7,0,1,388.1288808,387.12160433312,3.1,5.7,0.543859649122807,3,1,0,0,0.416642345953733,0.317773670401554,0.309029787778854,1.51464089751244,1.62048256094567,0.934685095672074,-0.0535400225581618
3477,C19H29O6Cl,HCOCl,19,29,6,0,1,388.1652663,387.15798983312,2.1,5.8,0.362068965517241,2,1,0,0,1.09881984256208,0.658107314108255,0.567669928073883,1.31995779275894,1.62994138151407,0.809819179836281,-0.0535187184993029
3526,C17H23O8Cl,HCOCl,17,23,8,0,1,390.1081454,389.10086893312,4,5.6,0.714285714285714,4,0,0,0,1.1317123323679,0.912033072788131,0.895088374614716,1.50908527662978,1.61104731285013,0.936710712710247,-0.0885337358503904
3531,C18H27O7Cl,HCOCl,18,27,7,0,1,390.1445309,389.13725443312,3.1,5.7,0.543859649122807,3,1,0,0,0.665837474633008,0.430198158436326,0.402424037456512,1.51464089751244,1.6207125869114,0.93455243683823,-0.0771066708720081
3569,C16H21O9Cl,HCOCl,16,21,9,0,1,392.0874099,391.08013343312,2,6.7,0.298507462686567,2,0,0,0,1.94700436887797,1.13420202580302,0.994082391262054,1.00591759989038,1.55981180246454,0.644896774278159,-0.107226434663968
3575,C17H25O8Cl,HCOCl,17,25,8,0,1,392.1237954,391.11651893312,3,5.6,0.535714285714286,3,0,1,0,1.97489799559116,1.18120868654369,0.994739890098572,1.32521788170561,1.60535460384563,0.825498540030379,-0.0626937827617876
3580,C18H29O7Cl,HCOCl,18,29,7,0,1,392.1601809,391.15290443312,2.1,5.8,0.362068965517241,2,1,0,0,1.3417309303768,0.800714227919896,0.632184386253357,1.31995779275894,1.6149407508783,0.817341312392462,-0.0537620347109497
3627,C16H23O9Cl,HCOCl,16,23,9,0,1,394.10306,393.09578353312,2.1,6.7,0.313432835820896,2,1,0,0,2.29921530780848,1.30181202281783,0.994082391262054,1.00591759989038,1.55981180246454,0.644896774278159,-0.0976434677159474
3631,C17H27O8Cl,HCOCl,17,27,8,0,1,394.1394455,393.13216903312,3,5.6,0.535714285714286,3,0,0,0,2.30237866938114,1.32326219112453,0.994739890098572,1.32521788170561,1.60535460384563,0.825498540030379,-0.0813081849923204
3680,C27H21OCl,HCOCl,27,21,1,0,1,396.128093,395.12081653312,2.1,6.4,0.328125,2,1,0,0,1.68078603222966,1.02273019311098,0.920705437660217,1.00118409295101,1.71973961044569,0.582171909555274,0.00027011990913916
3735,C19H23O7Cl,HCOCl,19,23,7,0,1,398.1132308,397.10595433312,3.2,5.7,0.56140350877193,3,2,0,0,1.97383943758905,1.19350896511171,0.850187361240387,1.54810547595844,1.63730816403404,0.945518693404776,-0.0756308934990642
3740,C20H27O6Cl,HCOCl,20,27,6,0,1,398.1496163,397.14233983312,3.1,5.7,0.543859649122807,3,1,0,0,1.87356236483902,1.13262127644023,0.783685386180878,1.55849859118462,1.65254243439995,0.943091420070263,-0.0775140280705036
3783,C18H21O8Cl,HCOCl,18,21,8,0,1,400.0924953,399.08521883312,3.1,6.7,0.462686567164179,3,1,0,0,1.52008180960547,0.960159921946798,0.805316925048828,1.51705617550761,1.62348247517366,0.934445673856337,-0.0751107201117858
3790,C19H25O7Cl,HCOCl,19,25,7,0,1,400.1288808,399.12160433312,3.3,5.7,0.578947368421053,3,3,0,0,1.3155041988939,0.862612789805231,0.794501185417175,1.54833550308831,1.63753819116391,0.945526346465117,-0.06742032447442
3795,C20H29O6Cl,HCOCl,20,29,6,0,1,400.1652663,399.15798983312,2.1,5.8,0.362068965517241,2,1,0,0,1.26023745443672,0.853123709702132,0.783685386180878,1.21631459891796,1.61821630061604,0.751639072264271,-0.0769617627100747
3838,C18H23O8Cl,HCOCl,18,23,8,0,1,402.1081454,401.10086893312,3.2,6.7,0.477611940298508,3,2,0,0,0.477954960311763,0.34235749222638,0.32629582285881,1.51728620147333,1.62371250113938,0.934454960720341,-0.0612932455578445
3844,C19H27O7Cl,HCOCl,19,27,7,0,1,402.1445309,401.13725443312,3.1,5.7,0.543859649122807,3,1,0,0,0.40626866184175,0.274394802996881,0.253981471061707,1.52545659244061,1.63776821712963,0.93142398080855,-0.0671707947092901
3891,C17H21O9Cl,HCOCl,17,21,9,0,1,404.0874099,403.08013343312,3.1,6.7,0.462686567164179,3,1,0,0,1.04200185940135,0.731948158073114,0.699028193950653,1.32587539264932,1.60915515816305,0.823957457379618,-0.0856686026051551
3897,C18H25O8Cl,HCOCl,18,25,8,0,1,404.1237954,403.11651893312,3.1,6.7,0.462686567164179,3,1,1,0,0.233990750159137,0.133749286658288,0.0960897505283356,1.51464089751244,1.62394252826925,0.932693658270464,-0.0513608312507204
3902,C19H29O7Cl,HCOCl,19,29,7,0,1,404.1601809,403.15290443312,3.1,5.8,0.53448275862069,3,1,0,0,0.816998830065131,0.656548883917846,0.649428606033325,1.52545659244061,1.63799824309535,0.931293179874188,-0.100948064987599
3950,C17H23O9Cl,HCOCl,17,23,9,0,1,406.10306,405.09578353312,2,6.7,0.298507462686567,2,0,0,0,1.72632388875354,1.07528315696972,0.994082391262054,1.00591759989038,1.57475093810353,0.638778854198876,-0.0911485195407176
3955,C18H27O8Cl,HCOCl,18,27,8,0,1,406.1394455,405.13216903312,3.1,6.7,0.462686567164179,3,1,0,0,0.838040820206515,0.530147358005281,0.397041857242584,1.51464089751244,1.62417255423497,0.932561564079544,-0.0606132414996826
3960,C19H31O7Cl,HCOCl,19,31,7,0,1,406.175831,405.16855453312,2.1,5.8,0.362068965517241,2,1,0,0,1.1808708216995,0.680162758719387,0.515342593193054,1.31995779275894,1.63199638109654,0.808799460616487,-0.05419916678146
4005,C17H25O9Cl,HCOCl,17,25,9,0,1,408.1187101,407.11143363312,3.1,6.7,0.462686567164179,3,1,0,0,1.89107622310985,1.19787596699852,0.994082391262054,1.32587539264932,1.60915515816305,0.823957457379618,-0.103179927703407
4007,C28H21OCl,HCOCl,28,21,1,0,1,408.128093,407.12081653312,2.1,6.4,0.328125,2,1,0,0,1.71681368723512,1.0427184268489,0.938962519168854,1.00132618402131,1.73516854573973,0.577077187388981,-0.0149070683166263
4011,C18H29O8Cl,HCOCl,18,29,8,0,1,408.1550956,407.14781913312,2.1,6.8,0.308823529411765,2,1,0,0,1.27735217555892,0.799795943073603,0.711920320987701,1.31995779275894,1.61801979213487,0.815785937338468,-0.0697810980222354
4109,C19H21O8Cl,HCOCl,19,21,8,0,1,412.0924953,411.08521883312,2.1,6.7,0.313432835820896,2,1,0,0,2.0941987807164,1.24889010391592,0.906507611274719,1.20549879968166,1.60415146674495,0.751486891775743,-0.0783135820720282
4114,C20H25O7Cl,HCOCl,20,25,7,0,1,412.1288808,411.12160433312,3.2,5.7,0.56140350877193,3,2,0,0,1.90990763809532,1.14757104798637,0.795847654342651,1.56137392227538,1.65474833291955,0.943571835797273,-0.0485756837898183
4119,C21H29O6Cl,HCOCl,21,29,6,0,1,412.1652663,411.15798983312,2.1,5.8,0.362068965517241,2,1,0,0,2.03137217182666,1.20051202979417,0.858012557029724,1.22713029384613,1.63324113958515,0.751346671415481,-0.0747155672518783
4157,C18H19O9Cl,HCOCl,18,19,9,0,1,414.0717599,413.06448343312,2.1,6.8,0.308823529411765,2,1,0,0,1.75689549208619,1.03487290135598,0.805316925048828,1.19468310475349,1.58961450704373,0.75155523522196,-0.0242580718001051
4164,C19H23O8Cl,HCOCl,19,23,8,0,1,414.1081454,413.10086893312,3.2,6.7,0.477611940298508,3,2,0,0,1.56854889041279,0.976127926177266,0.794501185417175,1.54810547595844,1.64082502236124,0.943492118209304,-0.0410457506690882
4170,C20H27O7Cl,HCOCl,20,27,7,0,1,414.1445309,413.13725443312,3.2,5.7,0.56140350877193,3,2,0,0,1.3371290108189,0.863434233231027,0.783685386180878,1.55849859118462,1.65497835888527,0.941703305555221,-0.0537873121172588
4175,C21H31O6Cl,HCOCl,21,31,6,0,1,414.1809164,413.17363993312,2.1,5.8,0.362068965517241,2,1,0,0,1.46045212168247,0.887392637545324,0.77286970615387,1.22713029384613,1.6334711664822,0.751240866093063,-0.0502355364712836
4215,C18H21O9Cl,HCOCl,18,21,9,0,1,416.0874099,415.08013343312,2.1,6.8,0.308823529411765,2,1,0,0,0.813333789119497,0.534863502795544,0.42401596903801,1.19468310475349,1.58984453394078,0.751446496338992,-0.107294341451774
4220,C19H25O8Cl,HCOCl,19,25,8,0,1,416.1237954,415.11651893312,3.1,6.7,0.462686567164179,3,1,0,0,0.511241140426137,0.358685081125316,0.338092148303986,1.52545659244061,1.64105504949111,0.929558452602576,-0.0590691357663045
4226,C20H29O7Cl,HCOCl,20,29,7,0,1,416.1601809,415.15290443312,2.1,5.8,0.362068965517241,2,1,0,0,0.553183211944997,0.36308700793938,0.319957792758942,1.21631459891796,1.6185972255189,0.751462179559853,-0.0739433645871725
4273,C18H23O9Cl,HCOCl,18,23,9,0,1,418.10306,417.09578353312,4.1,6.8,0.602941176470588,4,1,0,0,0.664265978848562,0.518615012749166,0.508432328701019,1.52055849740282,1.63219402241521,0.93160401062663,-0.0497403720288755
4279,C19H27O8Cl,HCOCl,19,27,8,0,1,418.1394455,417.13216903312,3.1,6.7,0.462686567164179,3,1,1,0,0.175459685386159,0.103497579703895,0.0747907310724258,1.52545659244061,1.64128507545684,0.929428175063378,-0.0497209302667175
