mf_ind,mf,ec,C,H,O,NSP,other,search_m0,search_m,pa_mm_abs,pa_mm_max,pa_mm_rel,major_count,minor_count,major_multi_count,minor_multi_count,p_d1,p_d2,p_dinf,pa_sum_abs,pa_sum_max,pa_sum_rel,tma_m_err_ppm
2140,C15H21O6Cl,HCOCl,15,21,6,0,1,332.1026661,331.09538963312,2,5.6,0.357142857142857,2,0,0,0,1.40752048417926,0.945646473159586,0.873418152332306,1.00394506705925,1.5419774078764,0.651076378895767,0.0127853786821207
2406,C16H21O6Cl,HCOCl,16,21,6,0,1,344.1026661,343.09538963312,2,5.6,0.357142857142857,2,0,0,0,1.43061007279903,0.916192238624218,0.826948285102844,1.17305169999599,1.55757098365575,0.75312888613445,0.0265080420148766
2410,C17H25O5Cl,HCOCl,17,25,5,0,1,344.1390516,343.13177513312,2,5.6,0.357142857142857,2,0,0,0,1.43764849100262,0.910167068229064,0.816132605075836,1.18386739492416,1.57252524327487,0.752844763533778,0.0534628530295034
2453,C16H23O6Cl,HCOCl,16,23,6,0,1,346.1183161,345.11103963312,3.1,5.6,0.553571428571429,3,1,0,0,0.459677022881806,0.340172191109323,0.327784359455109,1.49300949275494,1.5841685696505,0.942456201541938,0.00643442734206293
2495,C15H21O7Cl,HCOCl,15,21,7,0,1,348.0975807,347.09030423312,3,5.6,0.535714285714286,3,0,0,0,1.24168775603175,0.906897175336812,0.878137469291687,1.3245603707619,1.56930277822539,0.844043857654893,-0.004721544950388
2541,C15H23O7Cl,HCOCl,15,23,7,0,1,350.1132308,349.10595433312,2,5.6,0.357142857142857,2,0,0,0,2.17021764442325,1.23803208570318,0.995397448539734,1.00460257800296,1.54263491882011,0.651225099177278,-0.0266728062901599
2628,C17H19O6Cl,HCOCl,17,19,6,0,1,354.087016,353.07973953312,2.1,5.6,0.375,2,1,0,0,2.13970442209393,1.28645130203357,0.939693927764893,1.18386739492416,1.57221608934924,0.752992799745601,0.0479123245181993
2631,C18H23O5Cl,HCOCl,18,23,5,0,1,354.1234015,353.11612503312,2.1,5.7,0.368421052631579,2,1,0,0,2.13320160703734,1.27994215058284,0.939909934997559,1.19468310475349,1.58720778371207,0.752694837445564,-0.00244077810544837
2676,C17H21O6Cl,HCOCl,17,21,6,0,1,356.1026661,355.09538963312,2.1,5.6,0.375,2,1,0,0,2.0403109351173,1.21574549368468,0.840300440788269,1.18386739492416,1.57244611624628,0.752882647419596,-0.00879187988344441
2679,C18H25O5Cl,HCOCl,18,25,5,0,1,356.1390516,355.13177513312,2.1,5.7,0.368421052631579,2,1,0,0,1.93935538129881,1.14517783824385,0.805316925048828,1.19468310475349,1.58743781084195,0.752585768459085,-0.000447343929773827
2717,C16H19O7Cl,HCOCl,16,19,7,0,1,358.0819306,357.07465413312,2,5.6,0.357142857142857,2,0,0,0,1.29183130385354,0.892479957487313,0.826948285102844,1.17305169999599,1.55783302150667,0.753002204858561,0.00620120138473459
2723,C17H23O6Cl,HCOCl,17,23,6,0,1,358.1183161,357.11103963312,2.1,5.6,0.375,2,1,0,0,1.50159080419689,0.928914935785645,0.816132605075836,1.18386739492416,1.572676142212,0.752772527762155,-0.00447116526211736
2727,C18H27O5Cl,HCOCl,18,27,5,0,1,358.1547016,357.14742513312,2,5.7,0.350877192982456,2,0,0,0,0.80595985846594,0.530091903896075,0.417985111474991,1.19468310475349,1.58766783680767,0.752476731628985,-0.0324518804508423
2770,C16H21O7Cl,HCOCl,16,21,7,0,1,360.0975807,359.09030423312,3,5.6,0.535714285714286,3,0,0,0,0.899066723883152,0.497466324412888,0.319957792758942,1.17765427799895,1.56255448656157,0.753672456306088,0.0126562204144253
2775,C17H25O6Cl,HCOCl,17,25,6,0,1,360.1339662,359.12668973312,2.1,5.6,0.375,2,1,0,0,0.613248036243021,0.398083546366735,0.319957792758942,1.18386739492416,1.57290616934188,0.752662439756027,-0.00454575659186275
