"mz","MDL_2.5","ResPow","refe","m1","SE","Sample1_SRNOM.csv","Sample2_U1383C_Middle.csv","Sample3_BottomWater.csv","Sample4_U1382A.csv","Sample5_U1383C_Shallow.csv","Sample6_U1383C_Deep.csv","Sample7_NPEqIW.csv"
277.18428792643,44.6724081404395,2682608,NA,277.18429,NA,100.0053,NA,NA,NA,NA,NA,NA
291.199937821581,33.2186402012518,2569616,NA,291.19994,NA,91.4056,NA,NA,NA,NA,NA,NA
297.15299,29.257974011151,2539413,NA,297.15299,NA,NA,NA,NA,NA,NA,35.4204,NA
305.215587716732,24.7047440619273,2506222,NA,305.21559,NA,45.6833,NA,NA,NA,NA,NA,NA
309.097977687689,22.7037068460432,2566119,309.09797590485,309.09798,NA,30.9636,NA,NA,NA,NA,NA,NA
311.077237672882,21.7656709319607,2467132,311.07724052441,311.07724,NA,25.8755,NA,NA,NA,NA,NA,NA
311.11361767261,21.7656709319607,2413743,311.11362590485,311.11362,NA,24.7415,NA,NA,NA,NA,NA,NA
311.168650785489,21.7656709319607,2468526,NA,311.168652143099,0.0733556630558145,NA,NA,NA,37.316,NA,80.6953,NA
313.092877657804,20.8670298919823,2463806,313.09289052441,313.09288,NA,23.9269,NA,NA,NA,NA,NA,NA
321.097977597919,17.6350379002067,2406161,321.09797590485,321.09798,NA,22.9793,NA,NA,NA,NA,NA,NA
323.077237583112,16.910359145144,2409004,323.07724052441,323.07724,NA,28.0145,NA,NA,NA,NA,NA,NA
323.113624238276,16.910359145144,2429438.5,323.11362590485,323.113625589299,0.0165944029029269,32.1378,NA,20.0132,NA,NA,NA,NA
325.056507568306,16.2162755877098,2331264,325.05650514397,325.05651,NA,20.9367,NA,NA,NA,NA,NA,NA
325.09288857548,16.2162755877098,2388203.5,325.09289052441,325.09289,0.00528974941906596,40.7078,NA,20.3603,NA,NA,NA,NA
325.12927874006,16.2162755877098,2352076.5,325.12927590485,325.12928,0.00529003016086509,23.9772,NA,20.7621,NA,NA,NA,NA
325.184304791246,16.2162755877098,2405169.5,NA,325.184307792871,0.0839577713227004,NA,NA,NA,34.984,NA,54.4957,NA
327.072157546166,15.5515141281423,2431449,327.07215514397,327.07216,NA,30.344,NA,NA,NA,NA,NA,NA
327.108538681548,15.5515141281423,2408956,327.10854052441,327.10854,0.00530529491697175,35.3578,NA,26.2391,NA,NA,NA,NA
329.087797516821,14.9148519465994,2395721,329.08780514397,329.0878,NA,20.6536,NA,NA,NA,NA,NA,NA
333.0615874582,13.721174956846,2268950,333.06159052441,333.06159,NA,17.7386,NA,NA,NA,NA,NA,NA
333.09796745766,13.721174956846,2363136,333.09797590485,333.09797,NA,19.086,NA,NA,NA,NA,NA,NA
333.13435745712,13.721174956846,2340807,333.13436128529,333.13436,NA,14.8303,NA,NA,NA,NA,NA,NA
335.040847428747,13.1619502031484,2296649,335.04085514397,335.04085,NA,16.9804,NA,NA,NA,NA,NA,NA
335.077237428204,13.1619502031484,2344239,335.07724052441,335.07724,NA,26.9305,NA,NA,NA,NA,NA,NA
335.113624471229,13.1619502031484,2330230,335.11362590485,335.113625247746,0.0153361284820905,29.4455,NA,19.0694,NA,17.4393,NA,16.058
335.150009166366,13.1619502031484,2302668.66666667,335.15001128529,335.15001,0.00443278416178174,14.9737,NA,17.1513,NA,15.4719,NA,NA
337.056507386463,12.6264044524677,2320172,337.05650514397,337.05651,NA,26.0562,NA,NA,NA,NA,NA,NA
337.092889100725,12.6264044524677,2311975,337.09289052441,337.09289,0.00387788081731051,41.5224,NA,20.7079,NA,14.8681,NA,15.0806
337.129279077354,12.6264044524677,2293309.5,337.12927590485,337.12928,0.00430417583040541,32.8674,NA,30.7277,NA,25.9091,NA,21.5822
337.165670585141,12.6264044524677,2297326,337.16566128529,337.16567,NA,NA,NA,12.9187,NA,NA,NA,NA
339.035767327705,12.1135498579934,2301652,339.03576976353,339.03577,NA,15.7841,NA,NA,NA,NA,NA,NA
339.072158524486,12.1135498579934,2315555,339.07215514397,339.07216,0.0068078745686155,42.1766,NA,14.1697,NA,NA,NA,NA
339.108540821497,12.1135498579934,2349863.75,339.10854052441,339.10854268819,0.0199894660967949,53.8223,NA,44.5449,NA,29.6699,NA,28.8398
339.144925755378,12.1135498579934,2298551,339.14492590485,339.144927559962,0.0150785414943923,20.9919,NA,27.8519,NA,20.6092,NA,17.6927
339.199946593981,12.1135498579934,2282748,NA,339.199949789712,0.0386711932759837,NA,NA,NA,21.4555,NA,23.3386,NA
340.103790596984,11.865329365341,2252972,NA,340.10379,NA,NA,NA,12.1849,NA,NA,NA,NA
341.051417262322,11.6224229721964,2332987,341.05141976353,341.05142,NA,26.339,NA,NA,NA,NA,NA,NA
341.087800852274,11.6224229721964,2320569.75,341.08780514397,341.087802713205,0.0199288497733148,49.3709,NA,28.7975,NA,14.4114,NA,12.8849
341.124185931989,11.6224229721964,2318128,341.12419052441,341.124187774126,0.0194425503977086,34.2392,NA,37.238,NA,22.1026,NA,22.74
343.067067184618,11.1520960850121,2226473,343.06706976353,343.06707,NA,21.5054,NA,NA,NA,NA,NA,NA
343.103453974316,11.1520960850121,2277413,343.10345514397,343.103455111262,0.0135275079801429,24.34,NA,22.2668,NA,NA,NA,NA
343.139840619669,11.1520960850121,2287069,343.13984052441,343.13984,NA,NA,NA,11.9309,NA,NA,NA,NA
345.061587104207,10.7016804508127,2178647,345.06159052441,345.06159,NA,15.4446,NA,NA,NA,NA,NA,NA
345.082717103351,10.7016804508127,2241554,345.08271976353,345.08272,NA,11.5352,NA,NA,NA,NA,NA,NA
345.097977102733,10.7016804508127,2218448,345.09797590485,345.09798,NA,14.6766,NA,NA,NA,NA,NA,NA
345.134357101258,10.7016804508127,2236476,345.13436128529,345.13436,NA,12.148,NA,NA,NA,NA,NA,NA
346.756937035235,10.2703358117179,2275699,NA,346.75694,NA,11.002,NA,NA,NA,NA,NA,NA
347.040847023632,10.2703358117179,2165328,347.04085514397,347.04085,NA,16.6152,NA,NA,NA,NA,NA,NA
347.077237022144,10.2703358117179,2254719,347.07724052441,347.07724,NA,25.5935,NA,NA,NA,NA,NA,NA
347.113617872431,10.2703358117179,2266155.5,347.11362590485,347.11362,0.00602815599371221,24.7476,NA,11.9431,NA,13.3425,NA,12.9684
347.15000320689,10.2703358117179,2249943.5,347.15001128529,347.150005181939,0.0169300331540356,15.249,NA,13.989,NA,13.9203,NA,11.2869
349.056496940787,9.85731336676188,2167817,349.05650514397,349.0565,NA,24.9449,NA,NA,NA,NA,NA,NA
